chapter_number,engagement_count,date
550,26423,"Aug 14, 2022"
549,21152,"Aug 07, 2022"
548,23660,"Jul 31, 2022"
547,19488,"Jul 24, 2022"
546,18941,"Jul 17, 2022"
545,19440,"Jul 10, 2022"
544,23556,"Jul 03, 2022"
543,19135,"Jun 26, 2022"
542,18773,"Jun 19, 2022"
541,18226,"Jun 12, 2022"
540,19196,"Jun 05, 2022"
539,18912,"May 29, 2022"
538,19455,"May 22, 2022"
537,17240,"May 08, 2022"
536,20800,"May 01, 2022"
535,22758,"Apr 24, 2022"
534,18853,"Apr 17, 2022"
533,17163,"Apr 10, 2022"
532,20796,"Apr 03, 2022"
531,21042,"Mar 27, 2022"
530,19077,"Mar 20, 2022"
529,19026,"Mar 13, 2022"
528,17512,"Mar 06, 2022"
527,18443,"Feb 27, 2022"
526,23361,"Feb 20, 2022"
525,20461,"Feb 13, 2022"
524,20839,"Feb 06, 2022"
523,21015,"Jan 30, 2022"
522,23127,"Jan 23, 2022"
521,19754,"Jan 16, 2022"
520,27385,"Jan 09, 2022"
519,24635,"Jan 02, 2022"
518,23150,"Dec 26, 2021"
517,22057,"Dec 19, 2021"
516,21162,"Dec 12, 2021"
515,22917,"Dec 05, 2021"
514,21448,"Nov 28, 2021"
513,24479,"Nov 21, 2021"
512,32660,"Nov 14, 2021"
511,25512,"Nov 07, 2021"
510,25237,"Oct 31, 2021"
509,25974,"Oct 24, 2021"
508,27745,"Oct 17, 2021"
507,31366,"Oct 10, 2021"
506,29496,"Oct 03, 2021"
505,28704,"Sep 26, 2021"
504,30037,"Sep 19, 2021"
503,30546,"Sep 12, 2021"
502,30739,"Sep 05, 2021"
501,26798,"Aug 29, 2021"
500,28245,"Aug 22, 2021"
499,22950,"Aug 15, 2021"
498,24737,"Aug 08, 2021"
497,32314,"Aug 01, 2021"
496,23953,"Jul 25, 2021"
495,24480,"Jul 18, 2021"
494,22923,"Jul 11, 2021"
493,22727,"Jul 04, 2021"
492,25449,"Jun 27, 2021"
491,23322,"Jun 20, 2021"
490,26950,"Jun 13, 2021"
489,30325,"Jun 06, 2021"
488,27670,"May 30, 2021"
487,29938,"May 23, 2021"
486,60742,"May 16, 2021"
485,55234,"Jun 21, 2020"
484,33727,"Jun 14, 2020"
483,32539,"Jun 07, 2020"
482,40316,"May 31, 2020"
481,41834,"May 24, 2020"
480,35294,"May 17, 2020"
479,32749,"May 10, 2020"
478,37601,"May 03, 2020"
477,33117,"Apr 26, 2020"
476,34493,"Apr 19, 2020"
475,32639,"Apr 12, 2020"
474,40603,"Apr 05, 2020"
473,32207,"Mar 29, 2020"
472,32297,"Mar 22, 2020"
471,31616,"Mar 15, 2020"
470,33417,"Mar 08, 2020"
469,40206,"Mar 01, 2020"
468,41790,"Feb 23, 2020"
467,35878,"Feb 16, 2020"
466,43202,"Feb 09, 2020"
465,39465,"Feb 02, 2020"
464,29997,"Jan 26, 2020"
463,28870,"Jan 19, 2020"
462,32513,"Jan 12, 2020"
461,30541,"Jan 05, 2020"
460,31693,"Dec 29, 2019"
459,31171,"Dec 22, 2019"
458,37416,"Dec 15, 2019"
457,29875,"Dec 08, 2019"
456,30488,"Dec 01, 2019"
455,31198,"Nov 24, 2019"
454,30873,"Nov 17, 2019"
453,30351,"Nov 10, 2019"
452,29819,"Nov 03, 2019"
451,30947,"Oct 27, 2019"
450,30031,"Oct 20, 2019"
449,30571,"Oct 13, 2019"
448,36312,"Oct 06, 2019"
447,33285,"Sep 29, 2019"
446,31762,"Sep 22, 2019"
445,33180,"Sep 15, 2019"
444,33491,"Sep 08, 2019"
443,33272,"Sep 01, 2019"
442,33710,"Aug 25, 2019"
441,33693,"Aug 18, 2019"
440,33585,"Aug 11, 2019"
439,36600,"Aug 04, 2019"
438,32683,"Jul 28, 2019"
437,30779,"Jul 21, 2019"
436,31807,"Jul 14, 2019"
435,32600,"Jul 07, 2019"
434,34808,"Jun 30, 2019"
433,33646,"Jun 23, 2019"
432,32910,"Jun 16, 2019"
431,33406,"Jun 09, 2019"
430,33394,"Jun 02, 2019"
429,32220,"May 26, 2019"
428,33625,"May 19, 2019"
427,36765,"May 12, 2019"
426,34125,"May 05, 2019"
425,36697,"Apr 28, 2019"
424,36098,"Apr 21, 2019"
423,41381,"Apr 14, 2019"
422,35864,"Apr 07, 2019"
421,36523,"Mar 31, 2019"
420,36557,"Mar 24, 2019"
419,40279,"Mar 17, 2019"
418,54782,"Mar 10, 2019"
417,68679,"Jan 20, 2019"
416,44724,"Jan 13, 2019"
415,48250,"Jan 06, 2019"
414,39725,"Dec 30, 2018"
413,41633,"Dec 23, 2018"
412,39046,"Dec 16, 2018"
411,41883,"Dec 09, 2018"
410,38541,"Dec 02, 2018"
409,42938,"Nov 25, 2018"
408,57655,"Nov 18, 2018"
407,38122,"Nov 11, 2018"
406,39661,"Nov 04, 2018"
405,39369,"Oct 28, 2018"
404,40335,"Oct 21, 2018"
403,41172,"Oct 14, 2018"
402,40036,"Oct 07, 2018"
401,37482,"Sep 30, 2018"
400,38570,"Sep 23, 2018"
399,37241,"Sep 16, 2018"
398,39306,"Sep 09, 2018"
397,41007,"Sep 02, 2018"
396,39764,"Aug 26, 2018"
395,37715,"Aug 19, 2018"
394,38763,"Aug 12, 2018"
393,40166,"Aug 05, 2018"
392,40757,"Jul 29, 2018"
391,43687,"Jul 22, 2018"
390,42532,"Jul 15, 2018"
389,40823,"Jul 08, 2018"
388,41533,"Jul 01, 2018"
387,39259,"Jun 24, 2018"
386,41531,"Jun 17, 2018"
385,55359,"Jun 10, 2018"
384,43412,"Jun 03, 2018"
383,42794,"May 27, 2018"
382,65689,"May 20, 2018"
381,52540,"May 13, 2018"
380,38218,"May 06, 2018"
379,39882,"Apr 29, 2018"
378,36608,"Apr 22, 2018"
377,36495,"Apr 15, 2018"
376,36148,"Apr 08, 2018"
375,36639,"Apr 01, 2018"
374,36769,"Mar 25, 2018"
373,39735,"Mar 18, 2018"
372,36841,"Mar 11, 2018"
371,36175,"Mar 04, 2018"
370,36762,"Feb 25, 2018"
369,41041,"Feb 18, 2018"
368,37300,"Feb 11, 2018"
367,37858,"Feb 04, 2018"
366,39348,"Jan 28, 2018"
365,37979,"Jan 21, 2018"
364,37873,"Jan 14, 2018"
363,36427,"Jan 07, 2018"
362,36845,"Dec 31, 2017"
361,35001,"Dec 24, 2017"
360,37255,"Dec 17, 2017"
359,40388,"Dec 10, 2017"
358,36980,"Dec 03, 2017"
357,37842,"Nov 26, 2017"
356,36203,"Nov 19, 2017"
355,35680,"Nov 12, 2017"
354,36143,"Nov 05, 2017"
353,38899,"Oct 29, 2017"
352,39387,"Oct 22, 2017"
351,37835,"Oct 15, 2017"
