title,author,genre,total_likes,status,release_day,views,subscribers,rating,total_chapters,chapter_number,likes,chater_release_date,scrape_date
"66,666 Years: Advent of the Dark Mage","PASA , TARU ...",fantasy,1818012,ongoing,wednesday,14800000,422214,9.75,58,58,14457,2022-10-25,2022-12-27
"66,666 Years: Advent of the Dark Mage","PASA , TARU ...",fantasy,1818012,ongoing,wednesday,14800000,422214,9.75,58,57,19943,2022-10-18,2022-12-27
"66,666 Years: Advent of the Dark Mage","PASA , TARU ...",fantasy,1818012,ongoing,wednesday,14800000,422214,9.75,58,56,19698,2022-10-11,2022-12-27
"66,666 Years: Advent of the Dark Mage","PASA , TARU ...",fantasy,1818012,ongoing,wednesday,14800000,422214,9.75,58,55,20004,2022-10-04,2022-12-27
"66,666 Years: Advent of the Dark Mage","PASA , TARU ...",fantasy,1818012,ongoing,wednesday,14800000,422214,9.75,58,54,20094,2022-09-27,2022-12-27
"66,666 Years: Advent of the Dark Mage","PASA , TARU ...",fantasy,1818012,ongoing,wednesday,14800000,422214,9.75,58,53,20657,2022-09-20,2022-12-27
"66,666 Years: Advent of the Dark Mage","PASA , TARU ...",fantasy,1818012,ongoing,wednesday,14800000,422214,9.75,58,52,21396,2022-09-13,2022-12-27
"66,666 Years: Advent of the Dark Mage","PASA , TARU ...",fantasy,1818012,ongoing,wednesday,14800000,422214,9.75,58,51,21938,2022-09-06,2022-12-27
"66,666 Years: Advent of the Dark Mage","PASA , TARU ...",fantasy,1818012,ongoing,wednesday,14800000,422214,9.75,58,50,21905,2022-08-30,2022-12-27
"66,666 Years: Advent of the Dark Mage","PASA , TARU ...",fantasy,1818012,ongoing,wednesday,14800000,422214,9.75,58,49,22806,2022-08-23,2022-12-27
"66,666 Years: Advent of the Dark Mage","PASA , TARU ...",fantasy,1818012,ongoing,wednesday,14800000,422214,9.75,58,48,22893,2022-08-16,2022-12-27
"66,666 Years: Advent of the Dark Mage","PASA , TARU ...",fantasy,1818012,ongoing,wednesday,14800000,422214,9.75,58,47,23541,2022-08-09,2022-12-27
"66,666 Years: Advent of the Dark Mage","PASA , TARU ...",fantasy,1818012,ongoing,wednesday,14800000,422214,9.75,58,46,24009,2022-08-02,2022-12-27
"66,666 Years: Advent of the Dark Mage","PASA , TARU ...",fantasy,1818012,ongoing,wednesday,14800000,422214,9.75,58,45,24584,2022-07-26,2022-12-27
"66,666 Years: Advent of the Dark Mage","PASA , TARU ...",fantasy,1818012,ongoing,wednesday,14800000,422214,9.75,58,44,24780,2022-07-19,2022-12-27
"66,666 Years: Advent of the Dark Mage","PASA , TARU ...",fantasy,1818012,ongoing,wednesday,14800000,422214,9.75,58,43,24962,2022-07-12,2022-12-27
"66,666 Years: Advent of the Dark Mage","PASA , TARU ...",fantasy,1818012,ongoing,wednesday,14800000,422214,9.75,58,42,25582,2022-07-05,2022-12-27
"66,666 Years: Advent of the Dark Mage","PASA , TARU ...",fantasy,1818012,ongoing,wednesday,14800000,422214,9.75,58,41,26102,2022-06-28,2022-12-27
"66,666 Years: Advent of the Dark Mage","PASA , TARU ...",fantasy,1818012,ongoing,wednesday,14800000,422214,9.75,58,40,27030,2022-06-21,2022-12-27
