title,author,genre,total_likes,status,release_day,views,subscribers,rating,total_chapters,chapter_number,likes,chater_release_date,scrape_date
Down To Earth,Pookie Senpai,romance,16427965,ongoing,tuesday,329700000,3000000,9.8,124,124,17608,2022-12-26,2022-12-27
Down To Earth,Pookie Senpai,romance,16427965,ongoing,tuesday,329700000,3000000,9.8,124,123,57049,2022-12-19,2022-12-27
Down To Earth,Pookie Senpai,romance,16427965,ongoing,tuesday,329700000,3000000,9.8,124,122,64500,2022-12-12,2022-12-27
Down To Earth,Pookie Senpai,romance,16427965,ongoing,tuesday,329700000,3000000,9.8,124,121,69663,2022-12-05,2022-12-27
Down To Earth,Pookie Senpai,romance,16427965,ongoing,tuesday,329700000,3000000,9.8,124,120,70445,2022-11-28,2022-12-27
Down To Earth,Pookie Senpai,romance,16427965,ongoing,tuesday,329700000,3000000,9.8,124,119,71973,2022-11-21,2022-12-27
Down To Earth,Pookie Senpai,romance,16427965,ongoing,tuesday,329700000,3000000,9.8,124,118,74512,2022-11-14,2022-12-27
Down To Earth,Pookie Senpai,romance,16427965,ongoing,tuesday,329700000,3000000,9.8,124,117,76181,2022-11-07,2022-12-27
Down To Earth,Pookie Senpai,romance,16427965,ongoing,tuesday,329700000,3000000,9.8,124,116,80512,2022-10-31,2022-12-27
Down To Earth,Pookie Senpai,romance,16427965,ongoing,tuesday,329700000,3000000,9.8,124,115,76702,2022-10-24,2022-12-27
Down To Earth,Pookie Senpai,romance,16427965,ongoing,tuesday,329700000,3000000,9.8,124,114,80804,2022-10-17,2022-12-27
Down To Earth,Pookie Senpai,romance,16427965,ongoing,tuesday,329700000,3000000,9.8,124,113,79974,2022-10-10,2022-12-27
Down To Earth,Pookie Senpai,romance,16427965,ongoing,tuesday,329700000,3000000,9.8,124,112,82108,2022-09-26,2022-12-27
Down To Earth,Pookie Senpai,romance,16427965,ongoing,tuesday,329700000,3000000,9.8,124,111,85558,2022-09-19,2022-12-27
Down To Earth,Pookie Senpai,romance,16427965,ongoing,tuesday,329700000,3000000,9.8,124,110,86706,2022-09-12,2022-12-27
Down To Earth,Pookie Senpai,romance,16427965,ongoing,tuesday,329700000,3000000,9.8,124,109,86240,2022-09-05,2022-12-27
Down To Earth,Pookie Senpai,romance,16427965,ongoing,tuesday,329700000,3000000,9.8,124,108,92118,2022-08-29,2022-12-27
Down To Earth,Pookie Senpai,romance,16427965,ongoing,tuesday,329700000,3000000,9.8,124,107,90884,2022-08-22,2022-12-27
Down To Earth,Pookie Senpai,romance,16427965,ongoing,tuesday,329700000,3000000,9.8,124,106,90634,2022-08-15,2022-12-27
Down To Earth,Pookie Senpai,romance,16427965,ongoing,tuesday,329700000,3000000,9.8,124,105,93060,2022-08-08,2022-12-27
Down To Earth,Pookie Senpai,romance,16427965,ongoing,tuesday,329700000,3000000,9.8,124,104,94455,2022-08-01,2022-12-27
Down To Earth,Pookie Senpai,romance,16427965,ongoing,tuesday,329700000,3000000,9.8,124,103,100276,2022-07-25,2022-12-27
Down To Earth,Pookie Senpai,romance,16427965,ongoing,tuesday,329700000,3000000,9.8,124,102,97929,2022-07-18,2022-12-27
Down To Earth,Pookie Senpai,romance,16427965,ongoing,tuesday,329700000,3000000,9.8,124,101,93656,2022-07-11,2022-12-27
Down To Earth,Pookie Senpai,romance,16427965,ongoing,tuesday,329700000,3000000,9.8,124,100,107018,2022-07-04,2022-12-27
Down To Earth,Pookie Senpai,romance,16427965,ongoing,tuesday,329700000,3000000,9.8,124,99,98152,2022-06-20,2022-12-27
Down To Earth,Pookie Senpai,romance,16427965,ongoing,tuesday,329700000,3000000,9.8,124,98,96657,2022-06-13,2022-12-27
Down To Earth,Pookie Senpai,romance,16427965,ongoing,tuesday,329700000,3000000,9.8,124,97,100371,2022-06-06,2022-12-27
Down To Earth,Pookie Senpai,romance,16427965,ongoing,tuesday,329700000,3000000,9.8,124,96,105510,2022-05-30,2022-12-27
Down To Earth,Pookie Senpai,romance,16427965,ongoing,tuesday,329700000,3000000,9.8,124,95,104934,2022-05-23,2022-12-27
Down To Earth,Pookie Senpai,romance,16427965,ongoing,tuesday,329700000,3000000,9.8,124,94,103916,2022-05-16,2022-12-27
Down To Earth,Pookie Senpai,romance,16427965,ongoing,tuesday,329700000,3000000,9.8,124,93,110041,2022-05-09,2022-12-27
Down To Earth,Pookie Senpai,romance,16427965,ongoing,tuesday,329700000,3000000,9.8,124,92,111246,2022-05-02,2022-12-27
Down To Earth,Pookie Senpai,romance,16427965,ongoing,tuesday,329700000,3000000,9.8,124,91,112238,2022-04-25,2022-12-27
Down To Earth,Pookie Senpai,romance,16427965,ongoing,tuesday,329700000,3000000,9.8,124,90,111382,2022-04-18,2022-12-27
Down To Earth,Pookie Senpai,romance,16427965,ongoing,tuesday,329700000,3000000,9.8,124,89,113521,2022-04-11,2022-12-27
Down To Earth,Pookie Senpai,romance,16427965,ongoing,tuesday,329700000,3000000,9.8,124,88,113358,2022-04-04,2022-12-27
Down To Earth,Pookie Senpai,romance,16427965,ongoing,tuesday,329700000,3000000,9.8,124,87,113404,2022-03-28,2022-12-27
Down To Earth,Pookie Senpai,romance,16427965,ongoing,tuesday,329700000,3000000,9.8,124,86,109142,2022-03-21,2022-12-27
Down To Earth,Pookie Senpai,romance,16427965,ongoing,tuesday,329700000,3000000,9.8,124,85,110159,2022-03-14,2022-12-27
Down To Earth,Pookie Senpai,romance,16427965,ongoing,tuesday,329700000,3000000,9.8,124,84,120161,2022-03-07,2022-12-27
Down To Earth,Pookie Senpai,romance,16427965,ongoing,tuesday,329700000,3000000,9.8,124,83,120690,2022-02-28,2022-12-27
Down To Earth,Pookie Senpai,romance,16427965,ongoing,tuesday,329700000,3000000,9.8,124,82,116691,2022-02-21,2022-12-27
Down To Earth,Pookie Senpai,romance,16427965,ongoing,tuesday,329700000,3000000,9.8,124,81,117352,2022-02-14,2022-12-27
Down To Earth,Pookie Senpai,romance,16427965,ongoing,tuesday,329700000,3000000,9.8,124,80,120563,2022-02-07,2022-12-27
Down To Earth,Pookie Senpai,romance,16427965,ongoing,tuesday,329700000,3000000,9.8,124,79,134662,2022-01-31,2022-12-27
Down To Earth,Pookie Senpai,romance,16427965,ongoing,tuesday,329700000,3000000,9.8,124,78,159675,2021-07-19,2022-12-27
Down To Earth,Pookie Senpai,romance,16427965,ongoing,tuesday,329700000,3000000,9.8,124,77,138383,2021-07-12,2022-12-27
Down To Earth,Pookie Senpai,romance,16427965,ongoing,tuesday,329700000,3000000,9.8,124,76,133509,2021-07-05,2022-12-27
Down To Earth,Pookie Senpai,romance,16427965,ongoing,tuesday,329700000,3000000,9.8,124,75,135322,2021-06-28,2022-12-27
Down To Earth,Pookie Senpai,romance,16427965,ongoing,tuesday,329700000,3000000,9.8,124,74,143867,2021-06-21,2022-12-27
Down To Earth,Pookie Senpai,romance,16427965,ongoing,tuesday,329700000,3000000,9.8,124,73,144017,2021-06-14,2022-12-27
Down To Earth,Pookie Senpai,romance,16427965,ongoing,tuesday,329700000,3000000,9.8,124,72,151244,2021-06-07,2022-12-27
Down To Earth,Pookie Senpai,romance,16427965,ongoing,tuesday,329700000,3000000,9.8,124,71,147229,2021-05-31,2022-12-27
Down To Earth,Pookie Senpai,romance,16427965,ongoing,tuesday,329700000,3000000,9.8,124,70,140678,2021-05-24,2022-12-27
Down To Earth,Pookie Senpai,romance,16427965,ongoing,tuesday,329700000,3000000,9.8,124,69,142297,2021-05-17,2022-12-27
Down To Earth,Pookie Senpai,romance,16427965,ongoing,tuesday,329700000,3000000,9.8,124,68,143393,2021-05-10,2022-12-27
Down To Earth,Pookie Senpai,romance,16427965,ongoing,tuesday,329700000,3000000,9.8,124,67,141903,2021-05-03,2022-12-27
Down To Earth,Pookie Senpai,romance,16427965,ongoing,tuesday,329700000,3000000,9.8,124,66,144127,2021-04-26,2022-12-27
Down To Earth,Pookie Senpai,romance,16427965,ongoing,tuesday,329700000,3000000,9.8,124,65,143760,2021-04-19,2022-12-27
Down To Earth,Pookie Senpai,romance,16427965,ongoing,tuesday,329700000,3000000,9.8,124,64,140975,2021-04-12,2022-12-27
Down To Earth,Pookie Senpai,romance,16427965,ongoing,tuesday,329700000,3000000,9.8,124,63,141417,2021-04-06,2022-12-27
Down To Earth,Pookie Senpai,romance,16427965,ongoing,tuesday,329700000,3000000,9.8,124,62,149584,2021-03-29,2022-12-27
Down To Earth,Pookie Senpai,romance,16427965,ongoing,tuesday,329700000,3000000,9.8,124,61,146143,2021-03-22,2022-12-27
