title,author,genre,total_likes,status,release_day,views,subscribers,rating,total_chapters,chapter,likes,published,scrape_date
Bluechair,Shen,Slice of life,43658025,Ongoing,Wednesday,538400000,1400000,9.72,1079,1019,23317,2022-06-14,2023-01-13
Bluechair,Shen,Slice of life,43658025,Ongoing,Wednesday,538400000,1400000,9.72,1079,1018,23018,2022-06-10,2023-01-13
Bluechair,Shen,Slice of life,43658025,Ongoing,Wednesday,538400000,1400000,9.72,1079,1017,22383,2022-06-07,2023-01-13
Bluechair,Shen,Slice of life,43658025,Ongoing,Wednesday,538400000,1400000,9.72,1079,1016,24500,2022-06-03,2023-01-13
Bluechair,Shen,Slice of life,43658025,Ongoing,Wednesday,538400000,1400000,9.72,1079,1015,23005,2022-05-31,2023-01-13
Bluechair,Shen,Slice of life,43658025,Ongoing,Wednesday,538400000,1400000,9.72,1079,1014,24683,2022-05-27,2023-01-13
Bluechair,Shen,Slice of life,43658025,Ongoing,Wednesday,538400000,1400000,9.72,1079,1013,24150,2022-05-24,2023-01-13
Bluechair,Shen,Slice of life,43658025,Ongoing,Wednesday,538400000,1400000,9.72,1079,1012,24551,2022-05-20,2023-01-13
Bluechair,Shen,Slice of life,43658025,Ongoing,Wednesday,538400000,1400000,9.72,1079,1011,24779,2022-05-17,2023-01-13
Bluechair,Shen,Slice of life,43658025,Ongoing,Wednesday,538400000,1400000,9.72,1079,1010,24824,2022-05-13,2023-01-13
Bluechair,Shen,Slice of life,43658025,Ongoing,Wednesday,538400000,1400000,9.72,1079,1079,11541,2023-01-10,2023-01-13
Bluechair,Shen,Slice of life,43658025,Ongoing,Wednesday,538400000,1400000,9.72,1079,1078,13323,2023-01-06,2023-01-13
Bluechair,Shen,Slice of life,43658025,Ongoing,Wednesday,538400000,1400000,9.72,1079,1077,14245,2023-01-03,2023-01-13
Bluechair,Shen,Slice of life,43658025,Ongoing,Wednesday,538400000,1400000,9.72,1079,1076,13922,2022-12-30,2023-01-13
Bluechair,Shen,Slice of life,43658025,Ongoing,Wednesday,538400000,1400000,9.72,1079,1075,15361,2022-12-27,2023-01-13
Bluechair,Shen,Slice of life,43658025,Ongoing,Wednesday,538400000,1400000,9.72,1079,1074,16035,2022-12-23,2023-01-13
Bluechair,Shen,Slice of life,43658025,Ongoing,Wednesday,538400000,1400000,9.72,1079,1073,17247,2022-12-20,2023-01-13
Bluechair,Shen,Slice of life,43658025,Ongoing,Wednesday,538400000,1400000,9.72,1079,1072,15482,2022-12-16,2023-01-13
Bluechair,Shen,Slice of life,43658025,Ongoing,Wednesday,538400000,1400000,9.72,1079,1071,16889,2022-12-13,2023-01-13
Bluechair,Shen,Slice of life,43658025,Ongoing,Wednesday,538400000,1400000,9.72,1079,1070,16865,2022-12-09,2023-01-13
Bluechair,Shen,Slice of life,43658025,Ongoing,Wednesday,538400000,1400000,9.72,1079,949,30501,2021-10-01,2023-01-13
Bluechair,Shen,Slice of life,43658025,Ongoing,Wednesday,538400000,1400000,9.72,1079,948,30855,2021-09-28,2023-01-13
Bluechair,Shen,Slice of life,43658025,Ongoing,Wednesday,538400000,1400000,9.72,1079,947,32686,2021-09-24,2023-01-13
Bluechair,Shen,Slice of life,43658025,Ongoing,Wednesday,538400000,1400000,9.72,1079,946,28960,2021-09-21,2023-01-13
