title,author,genre,total_likes,status,release_day,views,subscribers,rating,total_chapters,chapter,likes,published,scrape_date
Down To Earth,Pookie Senpai,Romance,16732473,Ongoing,Tuesday,334600000,3000000,9.79,126,56,155209,2021-02-15,2023-01-13
Down To Earth,Pookie Senpai,Romance,16732473,Ongoing,Tuesday,334600000,3000000,9.79,126,55,148341,2021-02-08,2023-01-13
Down To Earth,Pookie Senpai,Romance,16732473,Ongoing,Tuesday,334600000,3000000,9.79,126,54,150860,2021-02-01,2023-01-13
Down To Earth,Pookie Senpai,Romance,16732473,Ongoing,Tuesday,334600000,3000000,9.79,126,53,146562,2021-01-25,2023-01-13
Down To Earth,Pookie Senpai,Romance,16732473,Ongoing,Tuesday,334600000,3000000,9.79,126,52,148061,2021-01-18,2023-01-13
Down To Earth,Pookie Senpai,Romance,16732473,Ongoing,Tuesday,334600000,3000000,9.79,126,51,147138,2021-01-11,2023-01-13
Down To Earth,Pookie Senpai,Romance,16732473,Ongoing,Tuesday,334600000,3000000,9.79,126,50,149371,2021-01-04,2023-01-13
Down To Earth,Pookie Senpai,Romance,16732473,Ongoing,Tuesday,334600000,3000000,9.79,126,49,155269,2020-12-28,2023-01-13
Down To Earth,Pookie Senpai,Romance,16732473,Ongoing,Tuesday,334600000,3000000,9.79,126,48,156660,2020-12-21,2023-01-13
Down To Earth,Pookie Senpai,Romance,16732473,Ongoing,Tuesday,334600000,3000000,9.79,126,47,158883,2020-12-14,2023-01-13
Down To Earth,Pookie Senpai,Romance,16732473,Ongoing,Tuesday,334600000,3000000,9.79,126,96,106574,2022-05-30,2023-01-13
Down To Earth,Pookie Senpai,Romance,16732473,Ongoing,Tuesday,334600000,3000000,9.79,126,95,105978,2022-05-23,2023-01-13
Down To Earth,Pookie Senpai,Romance,16732473,Ongoing,Tuesday,334600000,3000000,9.79,126,94,104896,2022-05-16,2023-01-13
Down To Earth,Pookie Senpai,Romance,16732473,Ongoing,Tuesday,334600000,3000000,9.79,126,93,111031,2022-05-09,2023-01-13
Down To Earth,Pookie Senpai,Romance,16732473,Ongoing,Tuesday,334600000,3000000,9.79,126,92,112228,2022-05-02,2023-01-13
Down To Earth,Pookie Senpai,Romance,16732473,Ongoing,Tuesday,334600000,3000000,9.79,126,91,113214,2022-04-25,2023-01-13
Down To Earth,Pookie Senpai,Romance,16732473,Ongoing,Tuesday,334600000,3000000,9.79,126,90,112309,2022-04-18,2023-01-13
Down To Earth,Pookie Senpai,Romance,16732473,Ongoing,Tuesday,334600000,3000000,9.79,126,89,114466,2022-04-11,2023-01-13
