title,author,genre,total_likes,status,release_day,views,subscribers,rating,total_chapters,chapter,likes,published,scrape_date
I Love Yoo,Quimchee,Drama,34709616,Ongoing,Friday,579300000,4600000,9.75,216,216,21236,2023-01-12,2023-01-13
I Love Yoo,Quimchee,Drama,34709616,Ongoing,Friday,579300000,4600000,9.75,216,215,31974,2023-01-05,2023-01-13
I Love Yoo,Quimchee,Drama,34709616,Ongoing,Friday,579300000,4600000,9.75,216,214,33143,2022-12-29,2023-01-13
I Love Yoo,Quimchee,Drama,34709616,Ongoing,Friday,579300000,4600000,9.75,216,213,34360,2022-12-22,2023-01-13
I Love Yoo,Quimchee,Drama,34709616,Ongoing,Friday,579300000,4600000,9.75,216,212,34128,2022-12-15,2023-01-13
I Love Yoo,Quimchee,Drama,34709616,Ongoing,Friday,579300000,4600000,9.75,216,211,32591,2022-12-08,2023-01-13
I Love Yoo,Quimchee,Drama,34709616,Ongoing,Friday,579300000,4600000,9.75,216,210,34970,2022-11-24,2023-01-13
I Love Yoo,Quimchee,Drama,34709616,Ongoing,Friday,579300000,4600000,9.75,216,209,33658,2022-11-17,2023-01-13
I Love Yoo,Quimchee,Drama,34709616,Ongoing,Friday,579300000,4600000,9.75,216,208,31969,2022-11-10,2023-01-13
I Love Yoo,Quimchee,Drama,34709616,Ongoing,Friday,579300000,4600000,9.75,216,207,32965,2022-11-03,2023-01-13
I Love Yoo,Quimchee,Drama,34709616,Ongoing,Friday,579300000,4600000,9.75,216,106,191815,2019-10-17,2023-01-13
I Love Yoo,Quimchee,Drama,34709616,Ongoing,Friday,579300000,4600000,9.75,216,105,202518,2019-10-10,2023-01-13
I Love Yoo,Quimchee,Drama,34709616,Ongoing,Friday,579300000,4600000,9.75,216,104,197807,2019-10-03,2023-01-13
I Love Yoo,Quimchee,Drama,34709616,Ongoing,Friday,579300000,4600000,9.75,216,103,206016,2019-09-26,2023-01-13
I Love Yoo,Quimchee,Drama,34709616,Ongoing,Friday,579300000,4600000,9.75,216,102,196696,2019-09-19,2023-01-13
I Love Yoo,Quimchee,Drama,34709616,Ongoing,Friday,579300000,4600000,9.75,216,101,208443,2019-09-12,2023-01-13
I Love Yoo,Quimchee,Drama,34709616,Ongoing,Friday,579300000,4600000,9.75,216,100,212876,2019-09-05,2023-01-13
I Love Yoo,Quimchee,Drama,34709616,Ongoing,Friday,579300000,4600000,9.75,216,99,212174,2019-08-29,2023-01-13
I Love Yoo,Quimchee,Drama,34709616,Ongoing,Friday,579300000,4600000,9.75,216,98,244714,2019-08-22,2023-01-13
I Love Yoo,Quimchee,Drama,34709616,Ongoing,Friday,579300000,4600000,9.75,216,97,264673,2019-08-15,2023-01-13
I Love Yoo,Quimchee,Drama,34709616,Ongoing,Friday,579300000,4600000,9.75,216,206,33253,2022-10-20,2023-01-13
I Love Yoo,Quimchee,Drama,34709616,Ongoing,Friday,579300000,4600000,9.75,216,205,33240,2022-10-13,2023-01-13
I Love Yoo,Quimchee,Drama,34709616,Ongoing,Friday,579300000,4600000,9.75,216,204,34620,2022-09-22,2023-01-13
I Love Yoo,Quimchee,Drama,34709616,Ongoing,Friday,579300000,4600000,9.75,216,203,35315,2022-09-15,2023-01-13
I Love Yoo,Quimchee,Drama,34709616,Ongoing,Friday,579300000,4600000,9.75,216,202,36237,2022-09-08,2023-01-13
I Love Yoo,Quimchee,Drama,34709616,Ongoing,Friday,579300000,4600000,9.75,216,201,36806,2022-09-01,2023-01-13
I Love Yoo,Quimchee,Drama,34709616,Ongoing,Friday,579300000,4600000,9.75,216,200,38283,2022-08-25,2023-01-13
I Love Yoo,Quimchee,Drama,34709616,Ongoing,Friday,579300000,4600000,9.75,216,199,39927,2022-08-18,2023-01-13
I Love Yoo,Quimchee,Drama,34709616,Ongoing,Friday,579300000,4600000,9.75,216,198,41128,2022-08-11,2023-01-13
I Love Yoo,Quimchee,Drama,34709616,Ongoing,Friday,579300000,4600000,9.75,216,197,42124,2022-08-04,2023-01-13
I Love Yoo,Quimchee,Drama,34709616,Ongoing,Friday,579300000,4600000,9.75,216,166,74131,2021-11-25,2023-01-13
I Love Yoo,Quimchee,Drama,34709616,Ongoing,Friday,579300000,4600000,9.75,216,165,76780,2021-11-18,2023-01-13
I Love Yoo,Quimchee,Drama,34709616,Ongoing,Friday,579300000,4600000,9.75,216,164,78647,2021-11-11,2023-01-13
I Love Yoo,Quimchee,Drama,34709616,Ongoing,Friday,579300000,4600000,9.75,216,163,80678,2021-11-04,2023-01-13
I Love Yoo,Quimchee,Drama,34709616,Ongoing,Friday,579300000,4600000,9.75,216,162,87106,2021-10-14,2023-01-13
I Love Yoo,Quimchee,Drama,34709616,Ongoing,Friday,579300000,4600000,9.75,216,161,89655,2021-10-07,2023-01-13
I Love Yoo,Quimchee,Drama,34709616,Ongoing,Friday,579300000,4600000,9.75,216,160,96519,2021-09-30,2023-01-13
I Love Yoo,Quimchee,Drama,34709616,Ongoing,Friday,579300000,4600000,9.75,216,159,84638,2021-09-23,2023-01-13
I Love Yoo,Quimchee,Drama,34709616,Ongoing,Friday,579300000,4600000,9.75,216,158,88025,2021-09-16,2023-01-13
I Love Yoo,Quimchee,Drama,34709616,Ongoing,Friday,579300000,4600000,9.75,216,157,92775,2021-09-09,2023-01-13
I Love Yoo,Quimchee,Drama,34709616,Ongoing,Friday,579300000,4600000,9.75,216,196,41409,2022-07-28,2023-01-13
I Love Yoo,Quimchee,Drama,34709616,Ongoing,Friday,579300000,4600000,9.75,216,195,43761,2022-07-21,2023-01-13
I Love Yoo,Quimchee,Drama,34709616,Ongoing,Friday,579300000,4600000,9.75,216,194,45127,2022-07-14,2023-01-13
I Love Yoo,Quimchee,Drama,34709616,Ongoing,Friday,579300000,4600000,9.75,216,193,47685,2022-07-07,2023-01-13
I Love Yoo,Quimchee,Drama,34709616,Ongoing,Friday,579300000,4600000,9.75,216,192,50202,2022-06-30,2023-01-13
I Love Yoo,Quimchee,Drama,34709616,Ongoing,Friday,579300000,4600000,9.75,216,191,52529,2022-06-23,2023-01-13
I Love Yoo,Quimchee,Drama,34709616,Ongoing,Friday,579300000,4600000,9.75,216,190,56569,2022-06-09,2023-01-13
