chapter_number,engagement_count,date
550,59890,"Aug 21, 2022"
549,45726,"Aug 14, 2022"
548,46692,"Aug 7, 2022"
547,48758,"Jul 31, 2022"
546,49182,"Jul 24, 2022"
545,49859,"Jul 17, 2022"
544,50494,"Jul 10, 2022"
543,52532,"Jul 3, 2022"
542,61569,"Jun 26, 2022"
541,53350,"Jun 19, 2022"
540,54167,"Jun 12, 2022"
539,56643,"Jun 5, 2022"
538,56181,"May 29, 2022"
537,57969,"May 22, 2022"
536,56179,"May 15, 2022"
535,58830,"May 8, 2022"
534,58167,"May 1, 2022"
533,59154,"Apr 24, 2022"
532,64592,"Apr 17, 2022"
531,59248,"Apr 10, 2022"
530,59855,"Apr 3, 2022"
529,60834,"Mar 27, 2022"
528,59785,"Mar 20, 2022"
527,61338,"Mar 13, 2022"
526,63233,"Mar 6, 2022"
525,62209,"Feb 27, 2022"
524,62840,"Feb 20, 2022"
523,66044,"Feb 13, 2022"
522,62519,"Feb 6, 2022"
521,64239,"Jan 30, 2022"
520,71996,"Jan 23, 2022"
519,65473,"Jan 16, 2022"
518,67735,"Jan 9, 2022"
517,74420,"Jan 2, 2022"
516,71014,"Dec 26, 2021"
515,72530,"Dec 19, 2021"
514,77546,"Dec 12, 2021"
513,73269,"Dec 5, 2021"
512,76276,"Nov 28, 2021"
511,78744,"Nov 21, 2021"
510,87664,"Nov 14, 2021"
509,102076,"Nov 7, 2021"
508,82924,"Oct 31, 2021"
507,81030,"Oct 24, 2021"
506,78753,"Oct 17, 2021"
505,83457,"Oct 10, 2021"
504,98664,"Oct 3, 2021"
503,86233,"Sep 26, 2021"
502,78087,"Sep 19, 2021"
501,79565,"Sep 12, 2021"
500,90073,"Sep 5, 2021"
499,82811,"Aug 29, 2021"
498,89063,"Aug 22, 2021"
497,83756,"Aug 15, 2021"
496,90860,"Aug 8, 2021"
495,117542,"Aug 1, 2021"
494,101767,"Jul 25, 2021"
493,121708,"Jul 18, 2021"
492,86283,"Jul 11, 2021"
491,88561,"Jul 4, 2021"
490,90994,"Jun 27, 2021"
489,99495,"Jun 20, 2021"
488,108589,"Jun 13, 2021"
487,114892,"Jun 6, 2021"
486,137259,"May 30, 2021"
485,201393,"Jun 28, 2020"
484,159308,"Jun 21, 2020"
483,142770,"Jun 14, 2020"
482,168709,"Jun 7, 2020"
481,150176,"May 31, 2020"
480,153300,"May 24, 2020"
479,144557,"May 17, 2020"
478,144166,"May 10, 2020"
477,137315,"May 3, 2020"
476,132660,"Apr 26, 2020"
475,142116,"Apr 19, 2020"
474,154229,"Apr 12, 2020"
473,130832,"Apr 5, 2020"
472,139922,"Mar 29, 2020"
471,139732,"Mar 22, 2020"
470,154423,"Mar 15, 2020"
469,137833,"Mar 8, 2020"
468,142605,"Mar 1, 2020"
467,133874,"Feb 23, 2020"
466,157213,"Feb 16, 2020"
465,153497,"Feb 9, 2020"
464,135190,"Feb 2, 2020"
463,125713,"Jan 26, 2020"
462,127445,"Jan 19, 2020"
461,124261,"Jan 12, 2020"
460,127034,"Jan 5, 2020"
459,138658,"Dec 29, 2019"
458,120602,"Dec 22, 2019"
457,132499,"Dec 15, 2019"
456,135352,"Dec 8, 2019"
455,127778,"Dec 1, 2019"
454,133076,"Nov 24, 2019"
453,130237,"Nov 17, 2019"
452,137399,"Nov 10, 2019"
451,127677,"Nov 3, 2019"
450,132000,"Oct 27, 2019"
449,137904,"Oct 20, 2019"
448,152473,"Oct 13, 2019"
447,205275,"Oct 6, 2019"
446,147171,"Sep 29, 2019"
445,128703,"Sep 22, 2019"
444,136506,"Sep 15, 2019"
443,129820,"Sep 8, 2019"
442,130328,"Sep 1, 2019"
441,123007,"Aug 25, 2019"
440,127131,"Aug 18, 2019"
439,128400,"Aug 11, 2019"
438,123331,"Aug 4, 2019"
437,125167,"Jul 28, 2019"
436,127901,"Jul 21, 2019"
435,126621,"Jul 14, 2019"
