site,season,season_chapter,overall_chapter,upvotes,downvotes,reply_count,comment_text,date
naver,1,0,1,92593,18402,122,-신의탑을 않본사람은 있어도 한번본 사람은 없다-,"May 15, 2013"
naver,1,0,1,66686,13874,125,"우리나라에서 유일하게 원피스,나루토,진격의거인이랑 맞먹는 웹툰이다ㅋㅋ","May 10, 2013"
naver,1,0,1,43088,5025,22,"SIU가 달려가면서 그림그리기를 자유자재로 구사하는것은 기본이고 선긋기같은 고급기술도 아무렇지도 않게 쓴다던데... 스케치,색칠,가속력,그림결정력,스피드,공간창출,피지컬,체력,침착성,위치선정등이 세계클래스라고 알고있는데 사실인가요? 정말 대단한 작가군요","May 11, 2013"
naver,1,0,1,34433,1250,8,월요일을 위로 받는 방법,"May 16, 2013"
naver,1,0,1,34287,1121,7,탑에 꼭대기엔 작가님이 계시다,"May 18, 2013"
naver,1,0,1,31047,1262,9,이렇게 시작된 하나의 만화는 전설이 되었다,"May 16, 2013"
naver,1,0,1,26328,1249,3,월요일이 즐거운 딱한가지이유,"May 17, 2013"
naver,1,0,1,22484,2869,9,신의탑이 진리며신의탑덕분에 월요일이행복하고 신의탑과 함께 일주일이 흘러가고 신의탑을 매일 생각하고 신의탑을 사랑하고 신의탑덕분에 행복하고 신의탑덕분에 월요병이 사라지고 신의탑덕분에 새친구를 사귀고 신의탑이 데뷔작이란걸 알고 놀라며 신의탑을 읽으며 스토리보고 놀라고 신의탑을 읽으며 그림체보고 놀라고 신의탑을 읽으며 업뎃시간보고 놀라고 난또 오늘하루를 신의탑과 함께 살아간다♥,"May 17, 2013"
naver,1,0,1,18437,1387,7,정주행 하시는 모든 독자분들께 알려드립니다. 이 만화에 나오는 그 누구도 믿지마세요.,"Jun 01, 2013"
naver,1,0,1,17657,1878,4,여기가 인류를 배신했다는 라헬 이라는 x가 사는곳인가요?,"May 20, 2013"
naver,1,0,1,15488,828,5,이 웹툰을 보기 전까지만 해도 나는 월요일이 가장 싫었다,"May 17, 2013"
naver,1,0,1,14985,755,3,아 도데체 이게 몇번째 정주행이냨ㅋㅋㅋ다른웹툰내용은 좀 헷갈리고 그럴지 몰라도 이거는내가 정기적으로 정주행을하니깐 잊어버릴 일이 없음ㅋㅋ,"May 17, 2013"
naver,1,0,1,13138,658,3,월요일은 싫은데 신의탑은좋다.,"May 17, 2013"
