title,author,genre,total_likes,status
marry my husband,sungsojak / lico,romance,1400000,ongoing
everything is fine,mike birchall,horror,5100000,ongoing
i’m the queen in this life,themis / omin,fantasy,124712,ongoing
blood reverie,lifelight,romance,1200000,ongoing
nice to meet you,wishroomness,romance,8700000,ongoing
the lazy lord masters the sword,dodomoon / doip,fantasy,1700000,ongoing
dungeons & artifacts,zerowater / umky,action,2800000,ongoing
to you who swallowed a star,ari,romance,3900000,ongoing
reality quest,joowoon lee / taesung,action,59590,ongoing
the doctors are out,blau,romance,5600000,ongoing
dear nemesis,velma / ohsso,drama,491766,ongoing
to tame a fire,hilluhri,supernatural,414136,ongoing
red hood: outlaws,patrick r. young / nico bascuñan,action,320477,ongoing
wind breaker,yongseok jo,sports,18300000,ongoing
the breaker: eternal force,geukjin jeon / jinhwan park,action,232794,ongoing
no longer a heroine!,maenggi ki,drama,3700000,ongoing
karsearin: adventures of a red dragon,ykb / wm,fantasy,255891,ongoing
flawed almighty,carnby kim / rh song,supernatural,1200000,ongoing
room of swords,toonimated,sci-fi,6500000,ongoing
daily jojo,donggeon lee,romance,1300000,ongoing
21st century knights,plastic bottru,fantasy,623280,ongoing
lovely hell,titasupp,fantasy,488950,ongoing
heir's game,suspu,drama,4600000,ongoing
the build up,911,sports,1300000,ongoing
midnight rain,pani,drama,1800000,ongoing
aza,usaesae,fantasy,538972,ongoing
time and time again,deo i.,supernatural,229780,ongoing
loaf app,yugyeong / gulrim,drama,132843,ongoing
here there be dragons,disteal / steve horton,fantasy,377525,ongoing
night fishing,lico / good guy,thriller,32313,ongoing
the star seekers,hybe,fantasy,775178,ongoing
super awkward man,pixzzo / afra,comedy,235599,ongoing
opposite of always,justin a. reynolds / sharpteething,romance,244801,ongoing
counting sheep,a.rasen,horror,158740,ongoing
psychic studies,park eun hyuk,action,270074,ongoing
fray,go100,action,172856,ongoing
plum,samkimart,sports,919415,ongoing
the fabled warrior,gosha / solem,fantasy,507944,ongoing
legends of silica,brian edward miller,fantasy,90460,ongoing
kidults,hahim,slice of life,536762,ongoing
spring once again,2hing,drama,93428,ongoing
of what remains,sillvi studios,thriller,177789,ongoing
harmonia,jinu / yoon,sci-fi,199648,ongoing
kubera,currygom,fantasy,3900000,ongoing
trump,chaeeun lee,fantasy,1700000,ongoing
dr. hound,aruani / laym,thriller,264557,ongoing
webtoon now,wyatt the cat / lozolz,informative,2200000,ongoing
no outtakes,go sunyoung,romance,708776,ongoing
the duke's cursed charm,goyogom / sohwagi,romance,683102,ongoing
fictional skin,kris nguyen,drama,513428,hiatus
mage again,myoung rang / sulmo,fantasy,398851,hiatus
tower of god,siu,fantasy,52700000,hiatus
subzero,junepurrr,romance,22500000,hiatus
morgana and oz,miyuli,fantasy,4400000,hiatus
the eagle and the snake,angel tovar,action,326326,hiatus
your smile is a trap,aengo,romance,7200000,hiatus
code adam,atterozen,action,3900000,hiatus
tricked into becoming the heroine's stepmother,hariheen / mokgamgi,fantasy,4800000,hiatus
cursed princess club,lambcat,comedy,19000000,hiatus
empyrea,ohkates,fantasy,2900000,hiatus
down to earth,pookie senpai,romance,15900000,ongoing
homesick,ms. freaky,thriller,4900000,ongoing
the advanced player of the tutorial tower,bangguseok gimssi / omagam,action,7900000,ongoing
eleceed,jeho son / zhena,action,19200000,ongoing
villain to kill,fupin / eunji,action,3900000,ongoing
love me to death,toonimated,fantasy,878717,ongoing
honey lemon,courtneywirthit,romance,77701,ongoing
purple hyacinth,ephemerys / sophism,mystery,13800000,ongoing
hero killer,kkulbeol / beolkkul,action,3800000,ongoing
odd girl out,morangji,drama,19800000,ongoing
seasons of blossom,hongduck / nemone,romance,6800000,ongoing
the lone spellcaster,minchoba / chungcho,fantasy,1200000,ongoing
regina rena: to the unforgiven,nana / seol dong-won,fantasy,1400000,ongoing
my reason to die,yuju,romance,845616,ongoing
secretary out-of-order,quornquorn / parand,romance,1800000,ongoing
viral hit,taejun pak / kim junghyun,action,6000000,ongoing
daytime star,chaeun / godago,drama,930550,ongoing
watermelon,rorita,fantasy,6100000,hiatus
surviving as a fish,dong9,fantasy,227208,ongoing
annie green hates girls,minorinmakes,romance,148101,ongoing
to not die,parae / jinguk lim,drama,568279,ongoing
my younger brother's friend,nimni,romance,1700000,ongoing
stagtown,punko,horror,2200000,ongoing
philia rosé: the prophecy of the crown of thorns,ryuta / yumi,fantasy,585481,ongoing
zatanna & the ripper,sarah dealy / syro,fantasy,317175,ongoing
cierra,rana / moona,romance,801719,ongoing
never-ending darling,woollee,thriller,415134,ongoing
little matcha girl,mame ´･ω･`,fantasy,2000000,hiatus
flawless,shinshinhye,romance,1100000,ongoing
mistake,cindy chwa / honeytoast,drama,284297,ongoing
the tax reaper,wintersleepturtle / elgar,drama,483808,ongoing
seven years later,tirapuw / hievasp,drama,346289,ongoing
the hip guy,henie,comedy,1400000,ongoing
who's mr. president?,s.m.s / king productions,drama,337001,ongoing
my roommate is a gumiho,na,romance,2100000,ongoing
teenage dragon,peanut,comedy,202958,ongoing
da yomanville gang,jason king,drama,2100000,ongoing
reawakened man,yongtaek chae / jaehan kim,action,601761,ongoing
exchange student,ultrafrog,drama,138019,ongoing
taekwondo kid,jun,sports,301243,ongoing
the dog diaries,yee seon,slice of life,515717,ongoing
cat got your tongue,teo / corey,comedy,188899,ongoing
neolithic girl,jaeah / garam han,fantasy,842469,ongoing
nonesuch,the bitsy artist,mystery,98324,ongoing
re-possessed,yishan li / trevor mueller,action,57775,ongoing
zero game,zelbasen,fantasy,2600000,ongoing
lavender jack,dan schkade,superhero,695901,ongoing
blacksmith,boredman,supernatural,257208,ongoing
it was all you,i soon ki / oh5ho,sci-fi,1100000,ongoing
betwixt,harihtaroon,mystery,148084,hiatus
cydonia shattering,tony karnowski / cocoon production,fantasy,149200,ongoing
hellbound,choi gyuseok / yeon sangho,thriller,228742,ongoing
romance punch,galang larope,comedy,84720,ongoing
from morning to night,jieun son,fantasy,232531,ongoing
blue,kennsaty,drama,162739,ongoing
machine uprising,hongjacga / tae-yul park,sci-fi,57657,ongoing
ganda: night defender,nikki dibya wardhana / linka08,action,47660,ongoing
charming the duke of the north,stardustvia / gachunga,fantasy,580313,ongoing
noise from upstairs,yangsong,thriller,119272,ongoing
divine circumstances,yusoo / jeong aro,romance,148037,ongoing
luggage,zealforart,fantasy,291797,hiatus
let's play,leeanne m. krecic (mongie),romance,40800000,hiatus
sable curse,little melon,fantasy,307097,hiatus
acception,colourbee,drama,13300000,hiatus
boyfriend of the dead,ushio,comedy,29200000,hiatus
match made in hell,keitalia,romance,890952,hiatus
royale,emmett hobbes / hank jones,mystery,57981,hiatus
nothing special,katie cook,fantasy,3000000,hiatus
her mannequin,st,romance,527791,hiatus
not so shoujo love story,curryuku,comedy,4400000,hiatus
true beauty,yaongyi,romance,50800000,ongoing
teenage mercenary,yc / rakyeon,action,6900000,ongoing
omniscient reader,singnsong / umi,action,17700000,ongoing
night owls & summer skies,rebecca sullivan / tikklil,romance,417255,ongoing
phase,jouki,romance,5900000,ongoing
hand jumper,sleepacross,thriller,900303,ongoing
the dungeon cleaning life of a once genius hunter,dalbeat / goilgoil,action,171421,ongoing
return of the mad demon,jp / ihy,historical,1400000,ongoing
the prince of southland,chris geroux,romance,2300000,hiatus
archie comics: big ethel energy,keryl brown ahmed / siobhan,drama,2200000,hiatus
my s-class hunters,seri / biwan,action,854292,ongoing
going up,melissaboo,romance,103878,ongoing
twilight poem,kim suji / midnight studio,fantasy,667721,ongoing
"66,666 years: advent of the dark mage",pasa / taru,fantasy,1800000,hiatus
infinite leveling: murim,jinwoo kim / gonbung,action,1600000,ongoing
a chance at last,dindon / seo hye eun,romance,782285,ongoing
safely endangered,chris mccoy,comedy,23200000,ongoing
realta,rachel eaton,fantasy,352523,hiatus
reincarnated as an unruly heir,jeon madu / zaemu,action,766921,ongoing
in the bleak midwinter;,kat / ali,sci-fi,2800000,ongoing
x & ash,sehoon kim / kwangsu lee,action,313052,ongoing
questism,taewan / yununi,fantasy,510863,ongoing
the fox club,hj. hwang,romance,535890,ongoing
escape from oz,kelly angel,comedy,14226,ongoing
"date first, love later",the gom (happybookstoyou) / jungmi,romance,1400000,ongoing
the final raid boss,kim janghun / ha seongshin,fantasy,427742,ongoing
the dummy's dummy,mochamura,horror,638930,hiatus
a summer night's dream,kim su bak / kan,romance,1300000,ongoing
a dance of swords in the night,jp / minskysong,action,114820,ongoing
blue matter,forgotuser,fantasy,588258,ongoing
the prenup,flada / siwon,romance,540520,ongoing
the last dimension,leaglem,sci-fi,421797,ongoing
neon revenge,gisong / nemga,action,1900000,ongoing
housekeeper,yongtaek chae / yuhyun,sci-fi,314122,ongoing
jupiter-men,actionkiddy,action,119944,ongoing
fingers,jeongsik park / ssuljak,thriller,38302,ongoing
soulwinder,android_k05 / wmw,thriller,207680,ongoing
