title,author,genre,total_likes,status,scrape_date
Marry My Husband,sungsojak / LICO,Romance,2000000,ongoing,2022-12-27
Cursed Princess Club,LambCat,Comedy,19400000,ongoing,2022-12-27
I’m the Queen in This Life,Themis / Omin,Fantasy,450758,ongoing,2022-12-27
Nice To Meet You,Wishroomness,Romance,9000000,ongoing,2022-12-27
Everything is Fine,Mike Birchall,Horror,5300000,hiatus,2022-12-27
Blood Reverie,lifelight,Romance,1400000,ongoing,2022-12-27
The Lazy Lord Masters the Sword,Dodomoon / doip,Fantasy,1900000,ongoing,2022-12-27
Mystic Prince,aheuredal,Drama,280640,ongoing,2022-12-27
Fictional Skin,Kris Nguyen,Drama,575599,ongoing,2022-12-27
Dungeons & Artifacts,Zerowater / UMKY,Action,2900000,ongoing,2022-12-27
To You Who Swallowed a Star,ARI,Romance,4000000,ongoing,2022-12-27
The Doctors are Out,Blau,Romance,5800000,ongoing,2022-12-27
Dear Nemesis,Velma / ohsso,Drama,598339,ongoing,2022-12-27
To Tame a Fire,hilluhri,Supernatural,509597,ongoing,2022-12-27
Wind Breaker,Yongseok Jo,Sports,18700000,ongoing,2022-12-27
Red Hood: Outlaws,Patrick R. Young / Nico Bascuñan,Action,376917,ongoing,2022-12-27
The Empress’ Lipstick,Park-myoung woon / Coffeebean,Fantasy,71225,ongoing,2022-12-27
The Breaker: Eternal Force,GEUKJIN JEON / JINHWAN PARK,Action,284838,ongoing,2022-12-27
Reality Quest,Joowoon Lee / Taesung,Action,204004,ongoing,2022-12-27
Karsearin: Adventures of a Red Dragon,YKB / wm,Fantasy,303284,ongoing,2022-12-27
Daily JoJo,Donggeon Lee,Romance,1400000,ongoing,2022-12-27
Flawed Almighty,Carnby Kim / RH Song,Supernatural,1300000,ongoing,2022-12-27
Heir's Game,suspu,Drama,4700000,ongoing,2022-12-27
Code Adam,Atterozen,Action,4000000,ongoing,2022-12-27
21st Century Knights,Plastic Bottru,Fantasy,685858,ongoing,2022-12-27
Lovely Hell,Titasupp,Fantasy,558040,ongoing,2022-12-27
