title,author,genre,day,total_likes,status,scrape_date
Marry My Husband,sungsojak / LICO,Romance,Monday,2300000,ongoing,2023-01-09
Cursed Princess Club,LambCat,Comedy,Monday,19600000,ongoing,2023-01-09
I’m the Queen in This Life,Themis / Omin,Fantasy,Monday,667529,ongoing,2023-01-09
Nice To Meet You,Wishroomness,Romance,Monday,9100000,ongoing,2023-01-09
Everything is Fine,Mike Birchall,Horror,Monday,5400000,hiatus,2023-01-09
Blood Reverie,lifelight,Romance,Monday,1400000,ongoing,2023-01-09
To The Stars and Back,Peglo,Slice of life,Monday,3800000,ongoing,2023-01-09
My Giant Nerd Boyfriend,fishball,Slice of life,Monday,62800000,hiatus,2023-01-09
The Lazy Lord Masters the Sword,Dodomoon / doip,Fantasy,Monday,1900000,ongoing,2023-01-09
Dungeons & Artifacts,Zerowater / UMKY,Action,Monday,3000000,ongoing,2023-01-09
To You Who Swallowed a Star,ARI,Romance,Monday,4000000,ongoing,2023-01-09
To Tame a Fire,hilluhri,Supernatural,Monday,550511,ongoing,2023-01-09
The Doctors are Out,Blau,Romance,Monday,5800000,ongoing,2023-01-09
Dear Nemesis,Velma / ohsso,Drama,Monday,644680,ongoing,2023-01-09
Rooftops & Roommates,Zaanart,Comedy,Monday,4800000,ongoing,2023-01-09
Fictional Skin,Kris Nguyen,Drama,Monday,606110,ongoing,2023-01-09
Wind Breaker,Yongseok Jo,Sports,Monday,18800000,ongoing,2023-01-09
The Duke's Cursed Charm,Goyogom / Sohwagi,Romance,Monday,1000000,ongoing,2023-01-09
Safely Endangered,Chris McCoy,Comedy,Monday,23500000,ongoing,2023-01-09
Mystic Prince,aheuredal,Drama,Monday,376150,ongoing,2023-01-09
Red Hood: Outlaws,Patrick R. Young / Nico Bascuñan,Action,Monday,399590,ongoing,2023-01-09
The Distance Between Us,YUJU,Romance,Monday,102339,ongoing,2023-01-09
Ingrid the Plague Doctor,Harry Amoros,Slice of life,Monday,544644,ongoing,2023-01-09
The Breaker: Eternal Force,GEUKJIN JEON / JINHWAN PARK,Action,Monday,306394,ongoing,2023-01-09
Finding Fiends,LizardxLizard,Comedy,Monday,1200000,hiatus,2023-01-09
Karsearin: Adventures of a Red Dragon,YKB / wm,Fantasy,Monday,325431,ongoing,2023-01-09
Code Adam,Atterozen,Action,Monday,4000000,ongoing,2023-01-09
Heir's Game,suspu,Drama,Monday,4800000,ongoing,2023-01-09
Hectopascal,buffering / gil seonggeun,Action,Monday,29148,ongoing,2023-01-09
Flawed Almighty,Carnby Kim / RH Song,Supernatural,Monday,1300000,ongoing,2023-01-09
Daily JoJo,Donggeon Lee,Romance,Monday,1400000,ongoing,2023-01-09
The Empress’ Lipstick,Park-myoung woon / Coffeebean,Fantasy,Monday,95637,ongoing,2023-01-09
21st Century Knights,Plastic Bottru,Fantasy,Monday,717152,ongoing,2023-01-09
Lovely Hell,Titasupp,Fantasy,Monday,575404,ongoing,2023-01-09
Reality Quest,Joowoon Lee / Taesung,Action,Monday,245602,ongoing,2023-01-09
The Build Up,911,Sports,Monday,1300000,ongoing,2023-01-09
Midnight Rain,Pani,Drama,Monday,1800000,ongoing,2023-01-09
Time and Time Again,Deo I.,Supernatural,Monday,292804,ongoing,2023-01-09
Aza,usaesae,Fantasy,Monday,600791,ongoing,2023-01-09
Loaf App,Yugyeong / Gulrim,Drama,Monday,165565,ongoing,2023-01-09
Here There Be Dragons,Disteal / Steve Horton,Fantasy,Monday,410124,ongoing,2023-01-09
Psychic Studies,PARK EUN HYUK,Action,Monday,318321,ongoing,2023-01-09
Super Awkward Man,Pixzzo / Afra,Comedy,Monday,256705,ongoing,2023-01-09
Counting Sheep,A.Rasen,Horror,Monday,190433,ongoing,2023-01-09
Fray,GO100,Action,Monday,198228,ongoing,2023-01-09
Opposite of Always,justin a. reynolds / Sharpteething,Romance,Monday,268789,ongoing,2023-01-09
THE STAR SEEKERS,HYBE,Fantasy,Monday,840147,ongoing,2023-01-09
Plum,samkimart,Sports,Monday,935988,hiatus,2023-01-09
Legends of Silica,Brian Edward Miller,Fantasy,Monday,98398,hiatus,2023-01-09
Kidults,Hahim,Slice of life,Monday,586162,ongoing,2023-01-09
The Fabled Warrior,Gosha / Solem,Fantasy,Monday,534753,ongoing,2023-01-09
Of What Remains,Sillvi Studios,Thriller,Monday,185792,ongoing,2023-01-09
Spring Once Again,2Hing,Drama,Monday,110713,ongoing,2023-01-09
Harmonia,JINU / YOON,Sci-fi,Monday,213610,ongoing,2023-01-09
No Outtakes,Go Sunyoung,Romance,Monday,770299,ongoing,2023-01-09
Gecko Chan,Meritxell Garcia,Comedy,Monday,515105,ongoing,2023-01-09
Kubera,Currygom,Fantasy,Monday,3900000,ongoing,2023-01-09
Discovering Love: A Harlequin Romance Collection,Various Artists,Romance,Monday,154673,ongoing,2023-01-09
Trump,Chaeeun Lee,Fantasy,Monday,1800000,ongoing,2023-01-09
Dr. Hound,Aruani / Laym,Thriller,Monday,274150,ongoing,2023-01-09
WEBTOON Now,Wyatt the Cat / LOZOLZ,Informative,Monday,2200000,ongoing,2023-01-09
Mage Again,Myoung rang / Sulmo,Fantasy,Monday,402542,hiatus,2023-01-09
Tower of God,SIU,Fantasy,Monday,53100000,hiatus,2023-01-09
SubZero,Junepurrr,Romance,Monday,22600000,hiatus,2023-01-09
Morgana and Oz,Miyuli,Fantasy,Monday,4400000,hiatus,2023-01-09
The Eagle and the Snake,Angel Tovar,Action,Monday,328914,hiatus,2023-01-09
Your Smile is a Trap,AENGO,Romance,Monday,7200000,hiatus,2023-01-09
Tricked into Becoming the Heroine's Stepmother,HARIHEEN / MOKGAMGI,Fantasy,Monday,4900000,hiatus,2023-01-09
EMPYREA,OHKATES,Fantasy,Monday,2900000,hiatus,2023-01-09
Down To Earth,Pookie Senpai,Romance,Tuesday,16600000,ongoing,2023-01-09
Homesick,Ms. Freaky,Thriller,Tuesday,5200000,ongoing,2023-01-09
Eleceed,Jeho Son / ZHENA,Action,Tuesday,20000000,ongoing,2023-01-09
The Advanced Player of the Tutorial Tower,Bangguseok Gimssi / Omagam,Action,Tuesday,8300000,ongoing,2023-01-09
The Last Bloodline,weyowang / WmW,Supernatural,Tuesday,153732,ongoing,2023-01-09
Villain to Kill,Fupin / Eunji,Action,Tuesday,4200000,ongoing,2023-01-09
Love Me to Death,Toonimated,Fantasy,Tuesday,1200000,ongoing,2023-01-09
Vampire Husband,Scragony,Slice of life,Tuesday,639322,ongoing,2023-01-09
Odd Girl Out,Morangji,Drama,Tuesday,20000000,hiatus,2023-01-09
Purple Hyacinth,Ephemerys / Sophism,Mystery,Tuesday,14400000,ongoing,2023-01-09
1HP Club,elfboi,Fantasy,Tuesday,4300000,ongoing,2023-01-09
Hero Killer,Kkulbeol / Beolkkul,Action,Tuesday,4000000,ongoing,2023-01-09
Regina Rena: To the Unforgiven,NANA / Seol Dong-Won,Fantasy,Tuesday,1600000,hiatus,2023-01-09
Match Made in Hell,keitalia,Romance,Tuesday,1000000,ongoing,2023-01-09
Daytime Star,Chaeun / Godago,Drama,Tuesday,1400000,ongoing,2023-01-09
My Reason to Die,YUJU,Romance,Tuesday,1100000,ongoing,2023-01-09
Seasons of Blossom,HONGDUCK / NEMONE,Romance,Tuesday,7200000,ongoing,2023-01-09
The Lone Spellcaster,Minchoba / Chungcho,Fantasy,Tuesday,1300000,ongoing,2023-01-09
Adventures of God,Teo / Corey,Comedy,Tuesday,29100000,ongoing,2023-01-09
Secretary Out-of-Order,QuornQuorn / Parand,Romance,Tuesday,2100000,ongoing,2023-01-09
Viral Hit,Taejun Pak / Kim Junghyun,Action,Tuesday,6400000,ongoing,2023-01-09
Honey Lemon,courtneywirthit,Romance,Tuesday,197997,ongoing,2023-01-09
DARK MOON: THE GREY CITY,HYBE,Fantasy,Tuesday,70179,ongoing,2023-01-09
Philia Rosé: The Prophecy of the Crown of Thorns,Ryuta / YUMI,Fantasy,Tuesday,688718,ongoing,2023-01-09
My Younger Brother's Friend,Nimni,Romance,Tuesday,1900000,ongoing,2023-01-09
To Not Die,Parae / Jinguk Lim,Drama,Tuesday,649327,ongoing,2023-01-09
Watermelon,Rorita,Fantasy,Tuesday,6200000,ongoing,2023-01-09
Charming the Duke of the North,Stardustvia / gachunga,Fantasy,Tuesday,809330,ongoing,2023-01-09
Stagtown,Punko,Horror,Tuesday,2300000,ongoing,2023-01-09
Surviving as a Fish,DONG9,Fantasy,Tuesday,292154,ongoing,2023-01-09
