title,author,genre,total_likes,status,release_day,views,subscribers,rating,total_chapters,chapter_number,likes,chater_release_date,scrape_date
Omniscient Reader,"singNsong , UMI ...",action,18366059,ongoing,wednesday,191800000,2500000,9.9,131,131,45700,2022-12-20,2022-12-27
Omniscient Reader,"singNsong , UMI ...",action,18366059,ongoing,wednesday,191800000,2500000,9.9,131,130,54673,2022-12-13,2022-12-27
Omniscient Reader,"singNsong , UMI ...",action,18366059,ongoing,wednesday,191800000,2500000,9.9,131,129,57465,2022-12-06,2022-12-27
Omniscient Reader,"singNsong , UMI ...",action,18366059,ongoing,wednesday,191800000,2500000,9.9,131,128,61281,2022-11-29,2022-12-27
Omniscient Reader,"singNsong , UMI ...",action,18366059,ongoing,wednesday,191800000,2500000,9.9,131,127,64286,2022-11-22,2022-12-27
Omniscient Reader,"singNsong , UMI ...",action,18366059,ongoing,wednesday,191800000,2500000,9.9,131,126,65662,2022-11-15,2022-12-27
Omniscient Reader,"singNsong , UMI ...",action,18366059,ongoing,wednesday,191800000,2500000,9.9,131,125,67183,2022-11-08,2022-12-27
Omniscient Reader,"singNsong , UMI ...",action,18366059,ongoing,wednesday,191800000,2500000,9.9,131,124,71446,2022-11-01,2022-12-27
Omniscient Reader,"singNsong , UMI ...",action,18366059,ongoing,wednesday,191800000,2500000,9.9,131,123,75195,2022-10-25,2022-12-27
Omniscient Reader,"singNsong , UMI ...",action,18366059,ongoing,wednesday,191800000,2500000,9.9,131,122,75352,2022-10-18,2022-12-27
Omniscient Reader,"singNsong , UMI ...",action,18366059,ongoing,wednesday,191800000,2500000,9.9,131,121,77881,2022-10-11,2022-12-27
Omniscient Reader,"singNsong , UMI ...",action,18366059,ongoing,wednesday,191800000,2500000,9.9,131,120,76954,2022-10-04,2022-12-27
Omniscient Reader,"singNsong , UMI ...",action,18366059,ongoing,wednesday,191800000,2500000,9.9,131,119,78321,2022-09-27,2022-12-27
Omniscient Reader,"singNsong , UMI ...",action,18366059,ongoing,wednesday,191800000,2500000,9.9,131,118,81906,2022-09-20,2022-12-27
Omniscient Reader,"singNsong , UMI ...",action,18366059,ongoing,wednesday,191800000,2500000,9.9,131,117,83574,2022-09-13,2022-12-27
Omniscient Reader,"singNsong , UMI ...",action,18366059,ongoing,wednesday,191800000,2500000,9.9,131,116,86543,2022-09-06,2022-12-27
Omniscient Reader,"singNsong , UMI ...",action,18366059,ongoing,wednesday,191800000,2500000,9.9,131,115,88274,2022-08-30,2022-12-27
Omniscient Reader,"singNsong , UMI ...",action,18366059,ongoing,wednesday,191800000,2500000,9.9,131,114,85715,2022-08-23,2022-12-27
Omniscient Reader,"singNsong , UMI ...",action,18366059,ongoing,wednesday,191800000,2500000,9.9,131,113,87647,2022-08-16,2022-12-27
Omniscient Reader,"singNsong , UMI ...",action,18366059,ongoing,wednesday,191800000,2500000,9.9,131,112,91610,2022-08-09,2022-12-27
Omniscient Reader,"singNsong , UMI ...",action,18366059,ongoing,wednesday,191800000,2500000,9.9,131,111,92900,2022-08-02,2022-12-27
Omniscient Reader,"singNsong , UMI ...",action,18366059,ongoing,wednesday,191800000,2500000,9.9,131,110,93394,2022-07-26,2022-12-27
Omniscient Reader,"singNsong , UMI ...",action,18366059,ongoing,wednesday,191800000,2500000,9.9,131,109,97508,2022-07-19,2022-12-27
Omniscient Reader,"singNsong , UMI ...",action,18366059,ongoing,wednesday,191800000,2500000,9.9,131,108,97742,2022-07-12,2022-12-27
Omniscient Reader,"singNsong , UMI ...",action,18366059,ongoing,wednesday,191800000,2500000,9.9,131,107,100684,2022-07-05,2022-12-27
Omniscient Reader,"singNsong , UMI ...",action,18366059,ongoing,wednesday,191800000,2500000,9.9,131,106,98541,2022-06-28,2022-12-27
Omniscient Reader,"singNsong , UMI ...",action,18366059,ongoing,wednesday,191800000,2500000,9.9,131,105,99714,2022-06-21,2022-12-27
Omniscient Reader,"singNsong , UMI ...",action,18366059,ongoing,wednesday,191800000,2500000,9.9,131,104,100024,2022-06-14,2022-12-27
Omniscient Reader,"singNsong , UMI ...",action,18366059,ongoing,wednesday,191800000,2500000,9.9,131,103,102451,2022-06-07,2022-12-27
Omniscient Reader,"singNsong , UMI ...",action,18366059,ongoing,wednesday,191800000,2500000,9.9,131,102,105513,2022-05-31,2022-12-27
