title,author,genre,total_likes,status,release_day,views,subscribers,rating,total_chapters,chapter_number,likes,chater_release_date,scrape_date
The Gamer,"Sangyoung Seong , Sang-A",action,20072232,ongoing,friday,447800000,2000000,9.6,432,432,11662,2022-12-22,2022-12-27
The Gamer,"Sangyoung Seong , Sang-A",action,20072232,ongoing,friday,447800000,2000000,9.6,432,431,18105,2022-11-10,2022-12-27
The Gamer,"Sangyoung Seong , Sang-A",action,20072232,ongoing,friday,447800000,2000000,9.6,432,430,17458,2022-11-03,2022-12-27
The Gamer,"Sangyoung Seong , Sang-A",action,20072232,ongoing,friday,447800000,2000000,9.6,432,429,17934,2022-10-27,2022-12-27
The Gamer,"Sangyoung Seong , Sang-A",action,20072232,ongoing,friday,447800000,2000000,9.6,432,428,17710,2022-10-20,2022-12-27
The Gamer,"Sangyoung Seong , Sang-A",action,20072232,ongoing,friday,447800000,2000000,9.6,432,427,18045,2022-10-13,2022-12-27
The Gamer,"Sangyoung Seong , Sang-A",action,20072232,ongoing,friday,447800000,2000000,9.6,432,426,18504,2022-10-06,2022-12-27
The Gamer,"Sangyoung Seong , Sang-A",action,20072232,ongoing,friday,447800000,2000000,9.6,432,425,18857,2022-09-29,2022-12-27
The Gamer,"Sangyoung Seong , Sang-A",action,20072232,ongoing,friday,447800000,2000000,9.6,432,424,19580,2022-09-22,2022-12-27
The Gamer,"Sangyoung Seong , Sang-A",action,20072232,ongoing,friday,447800000,2000000,9.6,432,423,19901,2022-09-15,2022-12-27
The Gamer,"Sangyoung Seong , Sang-A",action,20072232,ongoing,friday,447800000,2000000,9.6,432,422,20614,2022-09-08,2022-12-27
The Gamer,"Sangyoung Seong , Sang-A",action,20072232,ongoing,friday,447800000,2000000,9.6,432,421,20272,2022-09-01,2022-12-27
The Gamer,"Sangyoung Seong , Sang-A",action,20072232,ongoing,friday,447800000,2000000,9.6,432,420,20015,2022-08-25,2022-12-27
The Gamer,"Sangyoung Seong , Sang-A",action,20072232,ongoing,friday,447800000,2000000,9.6,432,419,20706,2022-08-18,2022-12-27
The Gamer,"Sangyoung Seong , Sang-A",action,20072232,ongoing,friday,447800000,2000000,9.6,432,418,21359,2022-08-11,2022-12-27
The Gamer,"Sangyoung Seong , Sang-A",action,20072232,ongoing,friday,447800000,2000000,9.6,432,417,21652,2022-08-04,2022-12-27
The Gamer,"Sangyoung Seong , Sang-A",action,20072232,ongoing,friday,447800000,2000000,9.6,432,416,21475,2022-07-28,2022-12-27
The Gamer,"Sangyoung Seong , Sang-A",action,20072232,ongoing,friday,447800000,2000000,9.6,432,415,21527,2022-07-21,2022-12-27
The Gamer,"Sangyoung Seong , Sang-A",action,20072232,ongoing,friday,447800000,2000000,9.6,432,414,23342,2022-07-14,2022-12-27
The Gamer,"Sangyoung Seong , Sang-A",action,20072232,ongoing,friday,447800000,2000000,9.6,432,413,22306,2022-07-07,2022-12-27
The Gamer,"Sangyoung Seong , Sang-A",action,20072232,ongoing,friday,447800000,2000000,9.6,432,412,22877,2022-06-30,2022-12-27
The Gamer,"Sangyoung Seong , Sang-A",action,20072232,ongoing,friday,447800000,2000000,9.6,432,411,23456,2022-06-23,2022-12-27
The Gamer,"Sangyoung Seong , Sang-A",action,20072232,ongoing,friday,447800000,2000000,9.6,432,410,23466,2022-06-16,2022-12-27
The Gamer,"Sangyoung Seong , Sang-A",action,20072232,ongoing,friday,447800000,2000000,9.6,432,409,24221,2022-06-09,2022-12-27
The Gamer,"Sangyoung Seong , Sang-A",action,20072232,ongoing,friday,447800000,2000000,9.6,432,408,23921,2022-06-02,2022-12-27
The Gamer,"Sangyoung Seong , Sang-A",action,20072232,ongoing,friday,447800000,2000000,9.6,432,407,24004,2022-05-26,2022-12-27
The Gamer,"Sangyoung Seong , Sang-A",action,20072232,ongoing,friday,447800000,2000000,9.6,432,406,24429,2022-05-19,2022-12-27
The Gamer,"Sangyoung Seong , Sang-A",action,20072232,ongoing,friday,447800000,2000000,9.6,432,405,24521,2022-05-12,2022-12-27
The Gamer,"Sangyoung Seong , Sang-A",action,20072232,ongoing,friday,447800000,2000000,9.6,432,404,24898,2022-05-05,2022-12-27
The Gamer,"Sangyoung Seong , Sang-A",action,20072232,ongoing,friday,447800000,2000000,9.6,432,403,25121,2022-04-28,2022-12-27
The Gamer,"Sangyoung Seong , Sang-A",action,20072232,ongoing,friday,447800000,2000000,9.6,432,402,25416,2022-04-21,2022-12-27
The Gamer,"Sangyoung Seong , Sang-A",action,20072232,ongoing,friday,447800000,2000000,9.6,432,401,25394,2022-04-14,2022-12-27
The Gamer,"Sangyoung Seong , Sang-A",action,20072232,ongoing,friday,447800000,2000000,9.6,432,400,25760,2022-04-07,2022-12-27
The Gamer,"Sangyoung Seong , Sang-A",action,20072232,ongoing,friday,447800000,2000000,9.6,432,399,26328,2022-03-31,2022-12-27
The Gamer,"Sangyoung Seong , Sang-A",action,20072232,ongoing,friday,447800000,2000000,9.6,432,398,26818,2022-03-24,2022-12-27
The Gamer,"Sangyoung Seong , Sang-A",action,20072232,ongoing,friday,447800000,2000000,9.6,432,397,27389,2022-03-17,2022-12-27
The Gamer,"Sangyoung Seong , Sang-A",action,20072232,ongoing,friday,447800000,2000000,9.6,432,396,27501,2022-03-10,2022-12-27
The Gamer,"Sangyoung Seong , Sang-A",action,20072232,ongoing,friday,447800000,2000000,9.6,432,395,28224,2022-03-03,2022-12-27
The Gamer,"Sangyoung Seong , Sang-A",action,20072232,ongoing,friday,447800000,2000000,9.6,432,394,27743,2022-02-24,2022-12-27
The Gamer,"Sangyoung Seong , Sang-A",action,20072232,ongoing,friday,447800000,2000000,9.6,432,393,28146,2022-02-17,2022-12-27
The Gamer,"Sangyoung Seong , Sang-A",action,20072232,ongoing,friday,447800000,2000000,9.6,432,392,28457,2022-02-10,2022-12-27
The Gamer,"Sangyoung Seong , Sang-A",action,20072232,ongoing,friday,447800000,2000000,9.6,432,391,28747,2022-02-03,2022-12-27
The Gamer,"Sangyoung Seong , Sang-A",action,20072232,ongoing,friday,447800000,2000000,9.6,432,390,28643,2022-01-27,2022-12-27
The Gamer,"Sangyoung Seong , Sang-A",action,20072232,ongoing,friday,447800000,2000000,9.6,432,389,29405,2022-01-20,2022-12-27
The Gamer,"Sangyoung Seong , Sang-A",action,20072232,ongoing,friday,447800000,2000000,9.6,432,388,29155,2022-01-13,2022-12-27
The Gamer,"Sangyoung Seong , Sang-A",action,20072232,ongoing,friday,447800000,2000000,9.6,432,387,29648,2022-01-06,2022-12-27
The Gamer,"Sangyoung Seong , Sang-A",action,20072232,ongoing,friday,447800000,2000000,9.6,432,386,29789,2021-12-30,2022-12-27
The Gamer,"Sangyoung Seong , Sang-A",action,20072232,ongoing,friday,447800000,2000000,9.6,432,385,29656,2021-12-23,2022-12-27
The Gamer,"Sangyoung Seong , Sang-A",action,20072232,ongoing,friday,447800000,2000000,9.6,432,384,30271,2021-12-16,2022-12-27
The Gamer,"Sangyoung Seong , Sang-A",action,20072232,ongoing,friday,447800000,2000000,9.6,432,383,30105,2021-12-09,2022-12-27
The Gamer,"Sangyoung Seong , Sang-A",action,20072232,ongoing,friday,447800000,2000000,9.6,432,382,31005,2021-12-02,2022-12-27
The Gamer,"Sangyoung Seong , Sang-A",action,20072232,ongoing,friday,447800000,2000000,9.6,432,381,31035,2021-11-25,2022-12-27
The Gamer,"Sangyoung Seong , Sang-A",action,20072232,ongoing,friday,447800000,2000000,9.6,432,380,30944,2021-11-18,2022-12-27
The Gamer,"Sangyoung Seong , Sang-A",action,20072232,ongoing,friday,447800000,2000000,9.6,432,379,31540,2021-11-11,2022-12-27
The Gamer,"Sangyoung Seong , Sang-A",action,20072232,ongoing,friday,447800000,2000000,9.6,432,378,33297,2021-11-04,2022-12-27
The Gamer,"Sangyoung Seong , Sang-A",action,20072232,ongoing,friday,447800000,2000000,9.6,432,377,33167,2021-10-28,2022-12-27
The Gamer,"Sangyoung Seong , Sang-A",action,20072232,ongoing,friday,447800000,2000000,9.6,432,376,32738,2021-10-21,2022-12-27
The Gamer,"Sangyoung Seong , Sang-A",action,20072232,ongoing,friday,447800000,2000000,9.6,432,375,34803,2021-10-14,2022-12-27
The Gamer,"Sangyoung Seong , Sang-A",action,20072232,ongoing,friday,447800000,2000000,9.6,432,374,33159,2021-10-07,2022-12-27
The Gamer,"Sangyoung Seong , Sang-A",action,20072232,ongoing,friday,447800000,2000000,9.6,432,373,34026,2021-09-30,2022-12-27
The Gamer,"Sangyoung Seong , Sang-A",action,20072232,ongoing,friday,447800000,2000000,9.6,432,372,33540,2021-09-23,2022-12-27
The Gamer,"Sangyoung Seong , Sang-A",action,20072232,ongoing,friday,447800000,2000000,9.6,432,371,33225,2021-09-16,2022-12-27
The Gamer,"Sangyoung Seong , Sang-A",action,20072232,ongoing,friday,447800000,2000000,9.6,432,370,33494,2021-09-09,2022-12-27
The Gamer,"Sangyoung Seong , Sang-A",action,20072232,ongoing,friday,447800000,2000000,9.6,432,369,34007,2021-09-02,2022-12-27
The Gamer,"Sangyoung Seong , Sang-A",action,20072232,ongoing,friday,447800000,2000000,9.6,432,368,33983,2021-08-26,2022-12-27
The Gamer,"Sangyoung Seong , Sang-A",action,20072232,ongoing,friday,447800000,2000000,9.6,432,367,34890,2021-08-19,2022-12-27
The Gamer,"Sangyoung Seong , Sang-A",action,20072232,ongoing,friday,447800000,2000000,9.6,432,366,34777,2021-08-12,2022-12-27
The Gamer,"Sangyoung Seong , Sang-A",action,20072232,ongoing,friday,447800000,2000000,9.6,432,365,35815,2021-08-05,2022-12-27
The Gamer,"Sangyoung Seong , Sang-A",action,20072232,ongoing,friday,447800000,2000000,9.6,432,364,35773,2021-07-29,2022-12-27
The Gamer,"Sangyoung Seong , Sang-A",action,20072232,ongoing,friday,447800000,2000000,9.6,432,363,36397,2021-07-22,2022-12-27
