title,author,genre,total_likes,status,release_day,views,subscribers,rating,total_chapters,chapter,likes,published,scrape_date
Lookism,Taejun Pak,Drama,45372666,Ongoing,Sunday,686900000,2900000,9.78,421,421,17246,2023-01-07,2023-01-13
Lookism,Taejun Pak,Drama,45372666,Ongoing,Sunday,686900000,2900000,9.78,421,420,19760,2022-12-31,2023-01-13
Lookism,Taejun Pak,Drama,45372666,Ongoing,Sunday,686900000,2900000,9.78,421,419,22304,2022-12-24,2023-01-13
Lookism,Taejun Pak,Drama,45372666,Ongoing,Sunday,686900000,2900000,9.78,421,418,23463,2022-12-17,2023-01-13
Lookism,Taejun Pak,Drama,45372666,Ongoing,Sunday,686900000,2900000,9.78,421,417,23878,2022-12-10,2023-01-13
Lookism,Taejun Pak,Drama,45372666,Ongoing,Sunday,686900000,2900000,9.78,421,416,25922,2022-12-03,2023-01-13
Lookism,Taejun Pak,Drama,45372666,Ongoing,Sunday,686900000,2900000,9.78,421,415,24958,2022-11-26,2023-01-13
Lookism,Taejun Pak,Drama,45372666,Ongoing,Sunday,686900000,2900000,9.78,421,414,25627,2022-11-19,2023-01-13
Lookism,Taejun Pak,Drama,45372666,Ongoing,Sunday,686900000,2900000,9.78,421,413,26552,2022-11-12,2023-01-13
Lookism,Taejun Pak,Drama,45372666,Ongoing,Sunday,686900000,2900000,9.78,421,412,27315,2022-11-05,2023-01-13
Lookism,Taejun Pak,Drama,45372666,Ongoing,Sunday,686900000,2900000,9.78,421,211,148001,2018-12-30,2023-01-13
Lookism,Taejun Pak,Drama,45372666,Ongoing,Sunday,686900000,2900000,9.78,421,210,142460,2018-12-23,2023-01-13
Lookism,Taejun Pak,Drama,45372666,Ongoing,Sunday,686900000,2900000,9.78,421,209,153724,2018-12-16,2023-01-13
Lookism,Taejun Pak,Drama,45372666,Ongoing,Sunday,686900000,2900000,9.78,421,208,154362,2018-12-09,2023-01-13
Lookism,Taejun Pak,Drama,45372666,Ongoing,Sunday,686900000,2900000,9.78,421,207,158582,2018-12-02,2023-01-13
Lookism,Taejun Pak,Drama,45372666,Ongoing,Sunday,686900000,2900000,9.78,421,206,158205,2018-11-26,2023-01-13
Lookism,Taejun Pak,Drama,45372666,Ongoing,Sunday,686900000,2900000,9.78,421,205,160398,2018-11-18,2023-01-13
Lookism,Taejun Pak,Drama,45372666,Ongoing,Sunday,686900000,2900000,9.78,421,204,146345,2018-11-11,2023-01-13
Lookism,Taejun Pak,Drama,45372666,Ongoing,Sunday,686900000,2900000,9.78,421,203,145961,2018-11-04,2023-01-13
Lookism,Taejun Pak,Drama,45372666,Ongoing,Sunday,686900000,2900000,9.78,421,202,143881,2018-10-28,2023-01-13
Lookism,Taejun Pak,Drama,45372666,Ongoing,Sunday,686900000,2900000,9.78,421,101,121165,2017-11-07,2023-01-13
Lookism,Taejun Pak,Drama,45372666,Ongoing,Sunday,686900000,2900000,9.78,421,100,120889,2017-11-06,2023-01-13
Lookism,Taejun Pak,Drama,45372666,Ongoing,Sunday,686900000,2900000,9.78,421,99,123714,2017-11-05,2023-01-13
Lookism,Taejun Pak,Drama,45372666,Ongoing,Sunday,686900000,2900000,9.78,421,98,120841,2017-11-02,2023-01-13
Lookism,Taejun Pak,Drama,45372666,Ongoing,Sunday,686900000,2900000,9.78,421,97,117880,2017-11-01,2023-01-13
Lookism,Taejun Pak,Drama,45372666,Ongoing,Sunday,686900000,2900000,9.78,421,96,118259,2017-10-31,2023-01-13
Lookism,Taejun Pak,Drama,45372666,Ongoing,Sunday,686900000,2900000,9.78,421,95,129994,2017-10-30,2023-01-13
Lookism,Taejun Pak,Drama,45372666,Ongoing,Sunday,686900000,2900000,9.78,421,94,129241,2017-10-29,2023-01-13
Lookism,Taejun Pak,Drama,45372666,Ongoing,Sunday,686900000,2900000,9.78,421,93,130957,2017-10-26,2023-01-13
Lookism,Taejun Pak,Drama,45372666,Ongoing,Sunday,686900000,2900000,9.78,421,92,133492,2017-10-25,2023-01-13
Lookism,Taejun Pak,Drama,45372666,Ongoing,Sunday,686900000,2900000,9.78,421,321,72073,2021-02-06,2023-01-13
Lookism,Taejun Pak,Drama,45372666,Ongoing,Sunday,686900000,2900000,9.78,421,320,69959,2021-01-30,2023-01-13
Lookism,Taejun Pak,Drama,45372666,Ongoing,Sunday,686900000,2900000,9.78,421,319,69075,2021-01-23,2023-01-13
Lookism,Taejun Pak,Drama,45372666,Ongoing,Sunday,686900000,2900000,9.78,421,318,66828,2021-01-16,2023-01-13
Lookism,Taejun Pak,Drama,45372666,Ongoing,Sunday,686900000,2900000,9.78,421,317,68233,2021-01-09,2023-01-13
Lookism,Taejun Pak,Drama,45372666,Ongoing,Sunday,686900000,2900000,9.78,421,316,68293,2021-01-02,2023-01-13
Lookism,Taejun Pak,Drama,45372666,Ongoing,Sunday,686900000,2900000,9.78,421,315,68045,2020-12-26,2023-01-13
Lookism,Taejun Pak,Drama,45372666,Ongoing,Sunday,686900000,2900000,9.78,421,314,69632,2020-12-19,2023-01-13
Lookism,Taejun Pak,Drama,45372666,Ongoing,Sunday,686900000,2900000,9.78,421,313,70035,2020-12-12,2023-01-13
