title,author,genre,total_likes,status,release_day,views,subscribers,rating,total_chapters,chapter,likes,published,scrape_date
Mage & Demon Queen,Color_LES,Comedy,22601610,Ongoing,Thursday,340200000,2700000,9.78,173,133,96982,2021-07-21,2023-01-13
Mage & Demon Queen,Color_LES,Comedy,22601610,Ongoing,Thursday,340200000,2700000,9.78,173,132,101950,2021-07-14,2023-01-13
Mage & Demon Queen,Color_LES,Comedy,22601610,Ongoing,Thursday,340200000,2700000,9.78,173,131,103988,2021-07-07,2023-01-13
Mage & Demon Queen,Color_LES,Comedy,22601610,Ongoing,Thursday,340200000,2700000,9.78,173,130,108495,2021-06-30,2023-01-13
Mage & Demon Queen,Color_LES,Comedy,22601610,Ongoing,Thursday,340200000,2700000,9.78,173,129,118267,2021-06-23,2023-01-13
Mage & Demon Queen,Color_LES,Comedy,22601610,Ongoing,Thursday,340200000,2700000,9.78,173,128,113579,2021-06-21,2023-01-13
Mage & Demon Queen,Color_LES,Comedy,22601610,Ongoing,Thursday,340200000,2700000,9.78,173,127,138229,2021-01-13,2023-01-13
Mage & Demon Queen,Color_LES,Comedy,22601610,Ongoing,Thursday,340200000,2700000,9.78,173,126,117620,2021-01-06,2023-01-13
Mage & Demon Queen,Color_LES,Comedy,22601610,Ongoing,Thursday,340200000,2700000,9.78,173,125,122928,2020-12-30,2023-01-13
Mage & Demon Queen,Color_LES,Comedy,22601610,Ongoing,Thursday,340200000,2700000,9.78,173,124,144356,2020-12-23,2023-01-13
Mage & Demon Queen,Color_LES,Comedy,22601610,Ongoing,Thursday,340200000,2700000,9.78,173,83,141162,2019-10-30,2023-01-13
Mage & Demon Queen,Color_LES,Comedy,22601610,Ongoing,Thursday,340200000,2700000,9.78,173,82,142120,2019-10-23,2023-01-13
Mage & Demon Queen,Color_LES,Comedy,22601610,Ongoing,Thursday,340200000,2700000,9.78,173,81,145875,2019-10-16,2023-01-13
Mage & Demon Queen,Color_LES,Comedy,22601610,Ongoing,Thursday,340200000,2700000,9.78,173,80,143987,2019-10-09,2023-01-13
Mage & Demon Queen,Color_LES,Comedy,22601610,Ongoing,Thursday,340200000,2700000,9.78,173,79,146732,2019-10-02,2023-01-13
Mage & Demon Queen,Color_LES,Comedy,22601610,Ongoing,Thursday,340200000,2700000,9.78,173,78,150613,2019-09-25,2023-01-13
Mage & Demon Queen,Color_LES,Comedy,22601610,Ongoing,Thursday,340200000,2700000,9.78,173,77,148611,2019-09-18,2023-01-13
Mage & Demon Queen,Color_LES,Comedy,22601610,Ongoing,Thursday,340200000,2700000,9.78,173,76,156965,2019-09-11,2023-01-13
Mage & Demon Queen,Color_LES,Comedy,22601610,Ongoing,Thursday,340200000,2700000,9.78,173,75,161064,2019-09-04,2023-01-13
Mage & Demon Queen,Color_LES,Comedy,22601610,Ongoing,Thursday,340200000,2700000,9.78,173,74,164584,2019-08-28,2023-01-13
Mage & Demon Queen,Color_LES,Comedy,22601610,Ongoing,Thursday,340200000,2700000,9.78,173,153,78583,2021-12-22,2023-01-13
Mage & Demon Queen,Color_LES,Comedy,22601610,Ongoing,Thursday,340200000,2700000,9.78,173,152,75432,2021-12-15,2023-01-13
Mage & Demon Queen,Color_LES,Comedy,22601610,Ongoing,Thursday,340200000,2700000,9.78,173,151,77033,2021-12-08,2023-01-13
Mage & Demon Queen,Color_LES,Comedy,22601610,Ongoing,Thursday,340200000,2700000,9.78,173,150,78245,2021-12-01,2023-01-13
Mage & Demon Queen,Color_LES,Comedy,22601610,Ongoing,Thursday,340200000,2700000,9.78,173,149,80879,2021-11-24,2023-01-13
Mage & Demon Queen,Color_LES,Comedy,22601610,Ongoing,Thursday,340200000,2700000,9.78,173,148,81490,2021-11-10,2023-01-13
Mage & Demon Queen,Color_LES,Comedy,22601610,Ongoing,Thursday,340200000,2700000,9.78,173,147,80933,2021-11-03,2023-01-13
Mage & Demon Queen,Color_LES,Comedy,22601610,Ongoing,Thursday,340200000,2700000,9.78,173,146,81594,2021-10-27,2023-01-13
Mage & Demon Queen,Color_LES,Comedy,22601610,Ongoing,Thursday,340200000,2700000,9.78,173,145,84175,2021-10-20,2023-01-13
Mage & Demon Queen,Color_LES,Comedy,22601610,Ongoing,Thursday,340200000,2700000,9.78,173,144,83678,2021-10-13,2023-01-13
Mage & Demon Queen,Color_LES,Comedy,22601610,Ongoing,Thursday,340200000,2700000,9.78,173,173,35343,2022-12-14,2023-01-13
Mage & Demon Queen,Color_LES,Comedy,22601610,Ongoing,Thursday,340200000,2700000,9.78,173,172,39016,2022-12-07,2023-01-13
Mage & Demon Queen,Color_LES,Comedy,22601610,Ongoing,Thursday,340200000,2700000,9.78,173,171,38624,2022-11-30,2023-01-13
Mage & Demon Queen,Color_LES,Comedy,22601610,Ongoing,Thursday,340200000,2700000,9.78,173,170,40222,2022-11-23,2023-01-13
Mage & Demon Queen,Color_LES,Comedy,22601610,Ongoing,Thursday,340200000,2700000,9.78,173,169,43069,2022-11-16,2023-01-13
Mage & Demon Queen,Color_LES,Comedy,22601610,Ongoing,Thursday,340200000,2700000,9.78,173,168,44801,2022-11-09,2023-01-13
Mage & Demon Queen,Color_LES,Comedy,22601610,Ongoing,Thursday,340200000,2700000,9.78,173,167,46626,2022-10-26,2023-01-13
