title,author,genre,total_likes,status,release_day,views,subscribers,rating,total_chapters,chapter,likes,published,scrape_date
Marry My Husband,"sungsojak , LICO",Romance,2333031,Ongoing,Monday,29300000,1100000,9.64,22,12,107397,2022-10-30,2023-01-13
Marry My Husband,"sungsojak , LICO",Romance,2333031,Ongoing,Monday,29300000,1100000,9.64,22,11,112694,2022-10-23,2023-01-13
Marry My Husband,"sungsojak , LICO",Romance,2333031,Ongoing,Monday,29300000,1100000,9.64,22,10,107183,2022-10-16,2023-01-13
Marry My Husband,"sungsojak , LICO",Romance,2333031,Ongoing,Monday,29300000,1100000,9.64,22,9,106932,2022-10-09,2023-01-13
Marry My Husband,"sungsojak , LICO",Romance,2333031,Ongoing,Monday,29300000,1100000,9.64,22,8,111644,2022-10-02,2023-01-13
Marry My Husband,"sungsojak , LICO",Romance,2333031,Ongoing,Monday,29300000,1100000,9.64,22,7,122540,2022-09-25,2023-01-13
Marry My Husband,"sungsojak , LICO",Romance,2333031,Ongoing,Monday,29300000,1100000,9.64,22,6,117770,2022-09-18,2023-01-13
Marry My Husband,"sungsojak , LICO",Romance,2333031,Ongoing,Monday,29300000,1100000,9.64,22,5,115927,2022-09-11,2023-01-13
Marry My Husband,"sungsojak , LICO",Romance,2333031,Ongoing,Monday,29300000,1100000,9.64,22,4,117748,2022-09-04,2023-01-13
Marry My Husband,"sungsojak , LICO",Romance,2333031,Ongoing,Monday,29300000,1100000,9.64,22,3,126810,2022-08-28,2023-01-13
Marry My Husband,"sungsojak , LICO",Romance,2333031,Ongoing,Monday,29300000,1100000,9.64,22,22,75630,2023-01-08,2023-01-13
Marry My Husband,"sungsojak , LICO",Romance,2333031,Ongoing,Monday,29300000,1100000,9.64,22,21,83304,2023-01-01,2023-01-13
Marry My Husband,"sungsojak , LICO",Romance,2333031,Ongoing,Monday,29300000,1100000,9.64,22,20,85484,2022-12-25,2023-01-13
Marry My Husband,"sungsojak , LICO",Romance,2333031,Ongoing,Monday,29300000,1100000,9.64,22,19,93536,2022-12-18,2023-01-13
Marry My Husband,"sungsojak , LICO",Romance,2333031,Ongoing,Monday,29300000,1100000,9.64,22,18,90570,2022-12-11,2023-01-13
Marry My Husband,"sungsojak , LICO",Romance,2333031,Ongoing,Monday,29300000,1100000,9.64,22,17,90989,2022-12-04,2023-01-13
Marry My Husband,"sungsojak , LICO",Romance,2333031,Ongoing,Monday,29300000,1100000,9.64,22,16,95869,2022-11-27,2023-01-13
Marry My Husband,"sungsojak , LICO",Romance,2333031,Ongoing,Monday,29300000,1100000,9.64,22,15,97708,2022-11-20,2023-01-13
Marry My Husband,"sungsojak , LICO",Romance,2333031,Ongoing,Monday,29300000,1100000,9.64,22,14,105938,2022-11-13,2023-01-13
Marry My Husband,"sungsojak , LICO",Romance,2333031,Ongoing,Monday,29300000,1100000,9.64,22,13,106978,2022-11-06,2023-01-13
Marry My Husband,"sungsojak , LICO",Romance,2333031,Ongoing,Monday,29300000,1100000,9.64,22,2,125963,2022-08-28,2023-01-13
Marry My Husband,"sungsojak , LICO",Romance,2333031,Ongoing,Monday,29300000,1100000,9.64,22,1,134417,2022-08-28,2023-01-13
