title,author,genre,total_likes,status,release_day,views,subscribers,rating,total_chapters,chapter,likes,published,scrape_date
The Remarried Empress,"Alphatart , Sumpul ...",Fantasy,25563572,Ongoing,Sunday,289600000,2800000,9.86,125,53,208495,2021-02-23,2023-01-13
The Remarried Empress,"Alphatart , Sumpul ...",Fantasy,25563572,Ongoing,Sunday,289600000,2800000,9.86,125,52,210627,2021-02-20,2023-01-13
The Remarried Empress,"Alphatart , Sumpul ...",Fantasy,25563572,Ongoing,Sunday,289600000,2800000,9.86,125,51,208350,2021-02-16,2023-01-13
The Remarried Empress,"Alphatart , Sumpul ...",Fantasy,25563572,Ongoing,Sunday,289600000,2800000,9.86,125,50,210846,2021-02-13,2023-01-13
The Remarried Empress,"Alphatart , Sumpul ...",Fantasy,25563572,Ongoing,Sunday,289600000,2800000,9.86,125,49,205603,2021-02-09,2023-01-13
The Remarried Empress,"Alphatart , Sumpul ...",Fantasy,25563572,Ongoing,Sunday,289600000,2800000,9.86,125,48,208262,2021-02-06,2023-01-13
The Remarried Empress,"Alphatart , Sumpul ...",Fantasy,25563572,Ongoing,Sunday,289600000,2800000,9.86,125,47,209565,2021-02-02,2023-01-13
The Remarried Empress,"Alphatart , Sumpul ...",Fantasy,25563572,Ongoing,Sunday,289600000,2800000,9.86,125,46,210238,2021-01-30,2023-01-13
The Remarried Empress,"Alphatart , Sumpul ...",Fantasy,25563572,Ongoing,Sunday,289600000,2800000,9.86,125,45,210440,2021-01-26,2023-01-13
The Remarried Empress,"Alphatart , Sumpul ...",Fantasy,25563572,Ongoing,Sunday,289600000,2800000,9.86,125,35,213622,2021-01-09,2023-01-13
The Remarried Empress,"Alphatart , Sumpul ...",Fantasy,25563572,Ongoing,Sunday,289600000,2800000,9.86,125,34,215107,2021-01-05,2023-01-13
The Remarried Empress,"Alphatart , Sumpul ...",Fantasy,25563572,Ongoing,Sunday,289600000,2800000,9.86,125,33,213855,2021-01-02,2023-01-13
The Remarried Empress,"Alphatart , Sumpul ...",Fantasy,25563572,Ongoing,Sunday,289600000,2800000,9.86,125,32,210259,2020-12-29,2023-01-13
The Remarried Empress,"Alphatart , Sumpul ...",Fantasy,25563572,Ongoing,Sunday,289600000,2800000,9.86,125,31,206207,2020-12-26,2023-01-13
The Remarried Empress,"Alphatart , Sumpul ...",Fantasy,25563572,Ongoing,Sunday,289600000,2800000,9.86,125,30,209896,2020-12-22,2023-01-13
The Remarried Empress,"Alphatart , Sumpul ...",Fantasy,25563572,Ongoing,Sunday,289600000,2800000,9.86,125,29,211317,2020-12-19,2023-01-13
The Remarried Empress,"Alphatart , Sumpul ...",Fantasy,25563572,Ongoing,Sunday,289600000,2800000,9.86,125,28,208623,2020-12-15,2023-01-13
The Remarried Empress,"Alphatart , Sumpul ...",Fantasy,25563572,Ongoing,Sunday,289600000,2800000,9.86,125,27,214969,2020-12-12,2023-01-13
The Remarried Empress,"Alphatart , Sumpul ...",Fantasy,25563572,Ongoing,Sunday,289600000,2800000,9.86,125,98,180738,2022-02-05,2023-01-13
The Remarried Empress,"Alphatart , Sumpul ...",Fantasy,25563572,Ongoing,Sunday,289600000,2800000,9.86,125,97,177451,2022-01-29,2023-01-13
The Remarried Empress,"Alphatart , Sumpul ...",Fantasy,25563572,Ongoing,Sunday,289600000,2800000,9.86,125,96,182619,2022-01-22,2023-01-13
The Remarried Empress,"Alphatart , Sumpul ...",Fantasy,25563572,Ongoing,Sunday,289600000,2800000,9.86,125,95,194527,2022-01-15,2023-01-13
The Remarried Empress,"Alphatart , Sumpul ...",Fantasy,25563572,Ongoing,Sunday,289600000,2800000,9.86,125,94,183520,2022-01-08,2023-01-13
The Remarried Empress,"Alphatart , Sumpul ...",Fantasy,25563572,Ongoing,Sunday,289600000,2800000,9.86,125,93,189120,2022-01-01,2023-01-13
The Remarried Empress,"Alphatart , Sumpul ...",Fantasy,25563572,Ongoing,Sunday,289600000,2800000,9.86,125,92,197191,2021-12-25,2023-01-13
The Remarried Empress,"Alphatart , Sumpul ...",Fantasy,25563572,Ongoing,Sunday,289600000,2800000,9.86,125,91,193144,2021-12-18,2023-01-13
The Remarried Empress,"Alphatart , Sumpul ...",Fantasy,25563572,Ongoing,Sunday,289600000,2800000,9.86,125,90,201038,2021-12-11,2023-01-13
The Remarried Empress,"Alphatart , Sumpul ...",Fantasy,25563572,Ongoing,Sunday,289600000,2800000,9.86,125,125,152918,2022-08-13,2023-01-13
The Remarried Empress,"Alphatart , Sumpul ...",Fantasy,25563572,Ongoing,Sunday,289600000,2800000,9.86,125,124,137714,2022-08-06,2023-01-13
The Remarried Empress,"Alphatart , Sumpul ...",Fantasy,25563572,Ongoing,Sunday,289600000,2800000,9.86,125,123,141350,2022-07-30,2023-01-13
The Remarried Empress,"Alphatart , Sumpul ...",Fantasy,25563572,Ongoing,Sunday,289600000,2800000,9.86,125,122,146937,2022-07-23,2023-01-13
The Remarried Empress,"Alphatart , Sumpul ...",Fantasy,25563572,Ongoing,Sunday,289600000,2800000,9.86,125,121,148634,2022-07-16,2023-01-13
The Remarried Empress,"Alphatart , Sumpul ...",Fantasy,25563572,Ongoing,Sunday,289600000,2800000,9.86,125,120,160413,2022-07-09,2023-01-13
The Remarried Empress,"Alphatart , Sumpul ...",Fantasy,25563572,Ongoing,Sunday,289600000,2800000,9.86,125,119,154588,2022-07-02,2023-01-13
The Remarried Empress,"Alphatart , Sumpul ...",Fantasy,25563572,Ongoing,Sunday,289600000,2800000,9.86,125,118,157342,2022-06-25,2023-01-13
The Remarried Empress,"Alphatart , Sumpul ...",Fantasy,25563572,Ongoing,Sunday,289600000,2800000,9.86,125,117,159287,2022-06-18,2023-01-13
The Remarried Empress,"Alphatart , Sumpul ...",Fantasy,25563572,Ongoing,Sunday,289600000,2800000,9.86,125,116,160549,2022-06-11,2023-01-13
The Remarried Empress,"Alphatart , Sumpul ...",Fantasy,25563572,Ongoing,Sunday,289600000,2800000,9.86,125,115,160511,2022-06-04,2023-01-13
The Remarried Empress,"Alphatart , Sumpul ...",Fantasy,25563572,Ongoing,Sunday,289600000,2800000,9.86,125,114,162822,2022-05-28,2023-01-13
The Remarried Empress,"Alphatart , Sumpul ...",Fantasy,25563572,Ongoing,Sunday,289600000,2800000,9.86,125,113,158790,2022-05-21,2023-01-13
The Remarried Empress,"Alphatart , Sumpul ...",Fantasy,25563572,Ongoing,Sunday,289600000,2800000,9.86,125,112,154128,2022-05-14,2023-01-13
The Remarried Empress,"Alphatart , Sumpul ...",Fantasy,25563572,Ongoing,Sunday,289600000,2800000,9.86,125,111,167409,2022-05-07,2023-01-13
The Remarried Empress,"Alphatart , Sumpul ...",Fantasy,25563572,Ongoing,Sunday,289600000,2800000,9.86,125,110,156213,2022-04-30,2023-01-13
The Remarried Empress,"Alphatart , Sumpul ...",Fantasy,25563572,Ongoing,Sunday,289600000,2800000,9.86,125,109,164689,2022-04-23,2023-01-13
The Remarried Empress,"Alphatart , Sumpul ...",Fantasy,25563572,Ongoing,Sunday,289600000,2800000,9.86,125,108,164755,2022-04-16,2023-01-13
The Remarried Empress,"Alphatart , Sumpul ...",Fantasy,25563572,Ongoing,Sunday,289600000,2800000,9.86,125,62,227093,2021-03-27,2023-01-13
The Remarried Empress,"Alphatart , Sumpul ...",Fantasy,25563572,Ongoing,Sunday,289600000,2800000,9.86,125,61,211596,2021-03-23,2023-01-13
The Remarried Empress,"Alphatart , Sumpul ...",Fantasy,25563572,Ongoing,Sunday,289600000,2800000,9.86,125,60,211366,2021-03-20,2023-01-13
The Remarried Empress,"Alphatart , Sumpul ...",Fantasy,25563572,Ongoing,Sunday,289600000,2800000,9.86,125,59,204819,2021-03-16,2023-01-13
The Remarried Empress,"Alphatart , Sumpul ...",Fantasy,25563572,Ongoing,Sunday,289600000,2800000,9.86,125,58,210407,2021-03-13,2023-01-13
The Remarried Empress,"Alphatart , Sumpul ...",Fantasy,25563572,Ongoing,Sunday,289600000,2800000,9.86,125,57,208696,2021-03-09,2023-01-13
The Remarried Empress,"Alphatart , Sumpul ...",Fantasy,25563572,Ongoing,Sunday,289600000,2800000,9.86,125,56,207294,2021-03-06,2023-01-13
The Remarried Empress,"Alphatart , Sumpul ...",Fantasy,25563572,Ongoing,Sunday,289600000,2800000,9.86,125,55,220632,2021-03-02,2023-01-13
The Remarried Empress,"Alphatart , Sumpul ...",Fantasy,25563572,Ongoing,Sunday,289600000,2800000,9.86,125,54,210678,2021-02-27,2023-01-13
The Remarried Empress,"Alphatart , Sumpul ...",Fantasy,25563572,Ongoing,Sunday,289600000,2800000,9.86,125,44,213407,2021-01-23,2023-01-13
