title,author,genre,status,release_day,views,subscribers,rating,chapter,comments,total_comments,likes,total_likes,date,user,comment_body,post_date,upvotes,downvotes,reply_count,scrape_date,season
Lore Olympus,Rachel Smythe,romance,ongoing,sunday,1200000000,6100000,9.68,1,8008,1883971,377719,60143294,2018-03-04,셀 ,EYYY ANYONE HERE FROM DISCOVER??? I LOVE THIS SM HOPE YOU NEWCOMERS ENJOY!!,"Mar 03, 2018",53103,837,87,2023-01-03,1
Lore Olympus,Rachel Smythe,romance,ongoing,sunday,1200000000,6100000,9.68,1,8008,1883971,377719,60143294,2018-03-04,Maddie1137,"The art style is mesmerizing! Can't wait to see where this goes, this myth has always fascinated me~ [+please like the chapters to support the author/boost it in the charts!]","Mar 03, 2018",50555,587,27,2023-01-03,1
Lore Olympus,Rachel Smythe,romance,ongoing,sunday,1200000000,6100000,9.68,1,8008,1883971,377719,60143294,2018-03-04,Amalia Herrera,I'm from discover too.EDIT: I can't believe I got top comment this has never happened to me. So I guess id just like to say thank you for liking my comment. I love this myth and I can't wait to see the authors interpretation of this story come about😀💖🖤,"Mar 03, 2018",28645,1176,15,2023-01-03,1
Lore Olympus,Rachel Smythe,romance,ongoing,sunday,1200000000,6100000,9.68,1,8008,1883971,377719,60143294,2018-03-04,justatinywifrog,HEY YEAH HIIM A GREEK NERD AND I LOVE THIS MORE THAN ZEUS LIKES TO FUCK EVERYTHING THAT MOVES KTHNXSBAI,"Mar 03, 2018",1445,14,22,2023-01-03,1
Lore Olympus,Rachel Smythe,romance,ongoing,sunday,1200000000,6100000,9.68,1,8008,1883971,377719,60143294,2018-03-04,Mikan200,Hades' phone:Apple=Pomegranate lol,"Mar 04, 2018",749,6,6,2023-01-03,1
Lore Olympus,Rachel Smythe,romance,ongoing,sunday,1200000000,6100000,9.68,1,8008,1883971,377719,60143294,2018-03-04,Anna Rukat,"this satisfies my inner mythology nerd in a strange way.here, have some trivia: Minthe was a naiad, a kind of nymph, connected to a river in the underworld called cocytus. She tried to seduce Hades but his wife, Persephone, turned her into a (who would've guessed) mint plant, thus giving the plant its name :)","Jul 01, 2018",628,5,11,2023-01-03,1
Lore Olympus,Rachel Smythe,romance,ongoing,sunday,1200000000,6100000,9.68,1,8008,1883971,377719,60143294,2018-03-04,ninieatsmeat,What? Zeus actually likes Hera???,"Mar 04, 2018",320,3,7,2023-01-03,1
Lore Olympus,Rachel Smythe,romance,ongoing,sunday,1200000000,6100000,9.68,1,8008,1883971,377719,60143294,2018-03-04,MissRubyPhoenix,Oh my gods! I'm a huge fan of Greek mythology and Persephone's story with Hades it's one of my favorites so I'm excited to read your version 😊,"Mar 06, 2018",295,7,3,2023-01-03,1
Lore Olympus,Rachel Smythe,romance,ongoing,sunday,1200000000,6100000,9.68,1,8008,1883971,377719,60143294,2018-03-04,space.goats,YES FINALLY IM SO HAPPY FOR YOU AUTHOR,"Mar 03, 2018",279,6,1,2023-01-03,1
Lore Olympus,Rachel Smythe,romance,ongoing,sunday,1200000000,6100000,9.68,1,8008,1883971,377719,60143294,2018-03-04,Destinydawolf ,Percy Jackson anyone,"Jul 15, 2018",225,12,29,2023-01-03,1
Lore Olympus,Rachel Smythe,romance,ongoing,sunday,1200000000,6100000,9.68,1,8008,1883971,377719,60143294,2018-03-04,Nightlock4411,That moment when you kiss your sister in front of your brothers ,"Aug 26, 2018",169,3,5,2023-01-03,1
Lore Olympus,Rachel Smythe,romance,ongoing,sunday,1200000000,6100000,9.68,1,8008,1883971,377719,60143294,2018-03-04,wind!! ~woosh~🌪🌪,Aghh! It has been feautured! I saw the date so i set it on my calender so i would not forget 😋congrats! I hope your new found journey is succesful,"Mar 03, 2018",144,4,1,2023-01-03,1
Lore Olympus,Rachel Smythe,romance,ongoing,sunday,1200000000,6100000,9.68,1,8008,1883971,377719,60143294,2018-03-04,noa_datev,"Love the art style, but am I the only one who thought the characters look kinda like they’re from Inside Out...? Hehe😉","Mar 28, 2018",135,9,2,2023-01-03,1
Lore Olympus,Rachel Smythe,romance,ongoing,sunday,1200000000,6100000,9.68,1,8008,1883971,377719,60143294,2018-03-04,Jess56723,Anyone rereading all the episodes because their bored in quarantine? No just me? Okay then...,"Mar 30, 2020",120,6,3,2023-01-03,1
