title,author,genre,status,release_day,views,subscribers,rating,chapter,chapter_length,comments,total_comments,likes,total_likes,date,user,comment_body,post_date,upvotes,downvotes,reply_count,scrape_date,season
Lore Olympus,Rachel Smythe,romance,ongoing,sunday,1200000000,6100000,9.68,1,75769,8010,1884497,377903,60202644,2018-03-04,셀 ,EYYY ANYONE HERE FROM DISCOVER??? I LOVE THIS SM HOPE YOU NEWCOMERS ENJOY!!,2018-03-03,53134,839,87,2023-01-06,1
Lore Olympus,Rachel Smythe,romance,ongoing,sunday,1200000000,6100000,9.68,1,75769,8010,1884497,377903,60202644,2018-03-04,Maddie1137,"The art style is mesmerizing! Can't wait to see where this goes, this myth has always fascinated me~ [+please like the chapters to support the author/boost it in the charts!]",2018-03-03,50582,588,27,2023-01-06,1
Lore Olympus,Rachel Smythe,romance,ongoing,sunday,1200000000,6100000,9.68,1,75769,8010,1884497,377903,60202644,2018-03-04,Amalia Herrera,I'm from discover too.EDIT: I can't believe I got top comment this has never happened to me. So I guess id just like to say thank you for liking my comment. I love this myth and I can't wait to see the authors interpretation of this story come about😀💖🖤,2018-03-03,28655,1177,15,2023-01-06,1
Lore Olympus,Rachel Smythe,romance,ongoing,sunday,1200000000,6100000,9.68,1,75769,8010,1884497,377903,60202644,2018-03-04,justatinywifrog,HEY YEAH HIIM A GREEK NERD AND I LOVE THIS MORE THAN ZEUS LIKES TO FUCK EVERYTHING THAT MOVES KTHNXSBAI,2018-03-03,1445,14,22,2023-01-06,1
Lore Olympus,Rachel Smythe,romance,ongoing,sunday,1200000000,6100000,9.68,1,75769,8010,1884497,377903,60202644,2018-03-04,Mikan200,Hades' phone:Apple=Pomegranate lol,2018-03-04,749,6,6,2023-01-06,1
Lore Olympus,Rachel Smythe,romance,ongoing,sunday,1200000000,6100000,9.68,1,75769,8010,1884497,377903,60202644,2018-03-04,Anna Rukat,"this satisfies my inner mythology nerd in a strange way.here, have some trivia: Minthe was a naiad, a kind of nymph, connected to a river in the underworld called cocytus. She tried to seduce Hades but his wife, Persephone, turned her into a (who would've guessed) mint plant, thus giving the plant its name :)",2018-07-01,628,5,11,2023-01-06,1
Lore Olympus,Rachel Smythe,romance,ongoing,sunday,1200000000,6100000,9.68,1,75769,8010,1884497,377903,60202644,2018-03-04,ninieatsmeat,What? Zeus actually likes Hera???,2018-03-04,320,3,7,2023-01-06,1
Lore Olympus,Rachel Smythe,romance,ongoing,sunday,1200000000,6100000,9.68,1,75769,8010,1884497,377903,60202644,2018-03-04,MissRubyPhoenix,Oh my gods! I'm a huge fan of Greek mythology and Persephone's story with Hades it's one of my favorites so I'm excited to read your version 😊,2018-03-06,295,7,3,2023-01-06,1
Lore Olympus,Rachel Smythe,romance,ongoing,sunday,1200000000,6100000,9.68,1,75769,8010,1884497,377903,60202644,2018-03-04,space.goats,YES FINALLY IM SO HAPPY FOR YOU AUTHOR,2018-03-03,279,6,1,2023-01-06,1
Lore Olympus,Rachel Smythe,romance,ongoing,sunday,1200000000,6100000,9.68,1,75769,8010,1884497,377903,60202644,2018-03-04,Destinydawolf ,Percy Jackson anyone,2018-07-15,225,12,29,2023-01-06,1
Lore Olympus,Rachel Smythe,romance,ongoing,sunday,1200000000,6100000,9.68,1,75769,8010,1884497,377903,60202644,2018-03-04,Nightlock4411,That moment when you kiss your sister in front of your brothers ,2018-08-26,169,3,5,2023-01-06,1
Lore Olympus,Rachel Smythe,romance,ongoing,sunday,1200000000,6100000,9.68,1,75769,8010,1884497,377903,60202644,2018-03-04,wind!! ~woosh~🌪🌪,Aghh! It has been feautured! I saw the date so i set it on my calender so i would not forget 😋congrats! I hope your new found journey is succesful,2018-03-03,144,4,1,2023-01-06,1
Lore Olympus,Rachel Smythe,romance,ongoing,sunday,1200000000,6100000,9.68,1,75769,8010,1884497,377903,60202644,2018-03-04,noa_datev,"Love the art style, but am I the only one who thought the characters look kinda like they’re from Inside Out...? Hehe😉",2018-03-28,135,9,2,2023-01-06,1
Lore Olympus,Rachel Smythe,romance,ongoing,sunday,1200000000,6100000,9.68,1,75769,8010,1884497,377903,60202644,2018-03-04,Jess56723,Anyone rereading all the episodes because their bored in quarantine? No just me? Okay then...,2020-03-30,120,6,3,2023-01-06,1
Lore Olympus,Rachel Smythe,romance,ongoing,sunday,1200000000,6100000,9.68,1,75769,8010,1884497,377903,60202644,2018-03-04,Surreal Lane,*Vomits Rainbow* It’s Here!,2018-03-03,95,7,0,2023-01-06,1
Lore Olympus,Rachel Smythe,romance,ongoing,sunday,1200000000,6100000,9.68,2,38345,4344,1884497,305472,60202644,2018-03-04,Erin D. H.,YES MY GOD YES. MY DISCOVER BABY IS FINALLY HERE!!,2018-03-03,51008,784,28,2023-01-06,1
Lore Olympus,Rachel Smythe,romance,ongoing,sunday,1200000000,6100000,9.68,2,38345,4344,1884497,305472,60202644,2018-03-04,Grace1517,DISCOVER SQUAD ASSEMBLE,2018-03-03,34908,954,61,2023-01-06,1
Lore Olympus,Rachel Smythe,romance,ongoing,sunday,1200000000,6100000,9.68,2,38345,4344,1884497,305472,60202644,2018-03-04,Noodlekatz,YES YES YES YES! I'VE BEEN WAITING! WELCOME BACK!,2018-03-03,33542,591,6,2023-01-06,1
Lore Olympus,Rachel Smythe,romance,ongoing,sunday,1200000000,6100000,9.68,2,38345,4344,1884497,305472,60202644,2018-03-04,QuezClark,"“CAN YOU PLEASE NOT TALK ABOUT MY BALLS. OR MY ASS, FOR THAT MATTER.”—Hades.Quote of the chapter 🎉",2018-03-03,1536,6,11,2023-01-06,1
Lore Olympus,Rachel Smythe,romance,ongoing,sunday,1200000000,6100000,9.68,2,38345,4344,1884497,305472,60202644,2018-03-04,sungyoon93,"to people that hates this myth because of kidnaping and sorts, let me say... By FAR Persephone has the most loving Husbando in all Olympus: he gave her the same level of authority as his in the underworld affairs, he NEVER cheated on her, protected her from idiots... Hades showers her with love and respect her wishes",2018-03-03,1312,12,15,2023-01-06,1
Lore Olympus,Rachel Smythe,romance,ongoing,sunday,1200000000,6100000,9.68,2,38345,4344,1884497,305472,60202644,2018-03-04,nobody !,"""who is she?"" YOUR NIECE!",2018-03-03,846,14,15,2023-01-06,1
Lore Olympus,Rachel Smythe,romance,ongoing,sunday,1200000000,6100000,9.68,2,38345,4344,1884497,305472,60202644,2018-03-04,emberite.10,Only Greek mythology nerds will truly understand Poseidon's anger towards Odysseus 😂😂,2018-03-03,688,4,18,2023-01-06,1
Lore Olympus,Rachel Smythe,romance,ongoing,sunday,1200000000,6100000,9.68,2,38345,4344,1884497,305472,60202644,2018-03-04,Dulce16,"Persephone sweetie, that dress is just a tad...too...short...like how are you walking? 😂 ",2018-03-05,587,3,8,2023-01-06,1
Lore Olympus,Rachel Smythe,romance,ongoing,sunday,1200000000,6100000,9.68,2,38345,4344,1884497,305472,60202644,2018-03-04,inofanmegastar,Aren't his balls ALWAYS blue tho?,2018-03-05,481,3,4,2023-01-06,1
Lore Olympus,Rachel Smythe,romance,ongoing,sunday,1200000000,6100000,9.68,2,38345,4344,1884497,305472,60202644,2018-03-04,MmmLemon🍋,I like her first dress choice. the gold is nice too,2018-03-03,397,0,6,2023-01-06,1
Lore Olympus,Rachel Smythe,romance,ongoing,sunday,1200000000,6100000,9.68,2,38345,4344,1884497,305472,60202644,2018-03-04,Arrow_The_Archer,I like how Zeus and Hades are both wearing suits and Poseidon is wearing a t-shirt with a man bun drinking some beer and generally looking like he doesn't give a shit,2018-03-30,361,2,5,2023-01-06,1
Lore Olympus,Rachel Smythe,romance,ongoing,sunday,1200000000,6100000,9.68,2,38345,4344,1884497,305472,60202644,2018-03-04,BuddyBuddyM,hades: whos she?? 😍Zeus:my daughter 😑,2018-03-04,320,2,4,2023-01-06,1
Lore Olympus,Rachel Smythe,romance,ongoing,sunday,1200000000,6100000,9.68,2,38345,4344,1884497,305472,60202644,2018-03-04,Xikana,"Omg the Odyssey reference. I guess Poseidon is still pretty salty about the whole ""I-killed-your-son-sorry-but-not-sorry"" thing. lol 😂 I'll leave now. ",2018-03-05,263,0,4,2023-01-06,1
