title,author,genre,status,release_day,views,subscribers,rating,chapter,season,season_chapter,arc,custom,length,comments,total_comments,replies,total_replies,likes,total_likes,published,username,id,country,profile_type,auth_provider,upvotes,downvotes,comment_replies,post_date,contents,timestamp
Lore Olympus,Rachel Smythe,Romance,Ongoing,Sunday,1200000000,6200000,9.67,1,1,,,1,75769,6078,1491153,1966,405680,379812,59991425,2018-03-04,,,,,,,,,,,2023-02-03 02:35:16.821556200 UTC
Lore Olympus,Rachel Smythe,Romance,Ongoing,Sunday,1200000000,6200000,9.67,2,1,,,2,38345,3244,1491153,1115,405680,306976,59991425,2018-03-04,,,,,,,,,,,2023-02-03 02:35:21.238767200 UTC
Lore Olympus,Rachel Smythe,Romance,Ongoing,Sunday,1200000000,6200000,9.67,3,1,,,3,44176,2613,1491153,796,405680,292881,59991425,2018-03-04,,,,,,,,,,,2023-02-03 02:35:26.762797100 UTC
Lore Olympus,Rachel Smythe,Romance,Ongoing,Sunday,1200000000,6200000,9.67,4,1,,,4,62938,2789,1491153,1009,405680,283046,59991425,2018-03-04,,,,,,,,,,,2023-02-03 02:35:31.251752500 UTC
Lore Olympus,Rachel Smythe,Romance,Ongoing,Sunday,1200000000,6200000,9.67,5,1,,,5,103974,5176,1491153,1159,405680,292431,59991425,2018-03-11,,,,,,,,,,,2023-02-03 02:35:35.590454300 UTC
Lore Olympus,Rachel Smythe,Romance,Ongoing,Sunday,1200000000,6200000,9.67,6,1,,,6,103366,4296,1491153,1044,405680,288909,59991425,2018-03-18,,,,,,,,,,,2023-02-03 02:35:38.197002600 UTC
Lore Olympus,Rachel Smythe,Romance,Ongoing,Sunday,1200000000,6200000,9.67,7,1,,,7,92751,3891,1491153,768,405680,278276,59991425,2018-03-25,,,,,,,,,,,2023-02-03 02:35:42.898215300 UTC
Lore Olympus,Rachel Smythe,Romance,Ongoing,Sunday,1200000000,6200000,9.67,8,1,,,8,98377,3930,1491153,974,405680,279274,59991425,2018-04-01,,,,,,,,,,,2023-02-03 02:35:48.199169300 UTC
Lore Olympus,Rachel Smythe,Romance,Ongoing,Sunday,1200000000,6200000,9.67,9,1,,,9,82806,3946,1491153,806,405680,267039,59991425,2018-04-08,,,,,,,,,,,2023-02-03 02:35:52.411740600 UTC
Lore Olympus,Rachel Smythe,Romance,Ongoing,Sunday,1200000000,6200000,9.67,10,1,,,10,64653,4165,1491153,948,405680,269431,59991425,2018-04-15,,,,,,,,,,,2023-02-03 02:35:57.935507200 UTC
Lore Olympus,Rachel Smythe,Romance,Ongoing,Sunday,1200000000,6200000,9.67,11,1,,,11,59637,3740,1491153,823,405680,252377,59991425,2018-04-22,,,,,,,,,,,2023-02-03 02:36:02.665282400 UTC
Lore Olympus,Rachel Smythe,Romance,Ongoing,Sunday,1200000000,6200000,9.67,12,1,,,12,62331,4499,1491153,614,405680,253041,59991425,2018-04-29,,,,,,,,,,,2023-02-03 02:36:07.144749900 UTC
Lore Olympus,Rachel Smythe,Romance,Ongoing,Sunday,1200000000,6200000,9.67,14,1,,,13,64165,2275,1491153,375,405680,252150,59991425,2018-05-13,,,,,,,,,,,2023-02-03 02:36:10.194208600 UTC
Lore Olympus,Rachel Smythe,Romance,Ongoing,Sunday,1200000000,6200000,9.67,15,1,,,14,48257,2120,1491153,398,405680,247534,59991425,2018-05-20,,,,,,,,,,,2023-02-03 02:36:15.187390700 UTC
Lore Olympus,Rachel Smythe,Romance,Ongoing,Sunday,1200000000,6200000,9.67,16,1,,,15,68111,2076,1491153,478,405680,244302,59991425,2018-05-27,,,,,,,,,,,2023-02-03 02:36:18.603572200 UTC
Lore Olympus,Rachel Smythe,Romance,Ongoing,Sunday,1200000000,6200000,9.67,17,1,,,16,70764,2292,1491153,566,405680,247992,59991425,2018-06-03,,,,,,,,,,,2023-02-03 02:36:22.507827500 UTC
Lore Olympus,Rachel Smythe,Romance,Ongoing,Sunday,1200000000,6200000,9.67,19,1,,,17,76640,6697,1491153,1511,405680,244681,59991425,2018-06-17,,,,,,,,,,,2023-02-03 02:36:27.243441 UTC
Lore Olympus,Rachel Smythe,Romance,Ongoing,Sunday,1200000000,6200000,9.67,20,1,,,18,72781,4436,1491153,832,405680,257005,59991425,2018-06-24,,,,,,,,,,,2023-02-03 02:36:31.649347400 UTC
Lore Olympus,Rachel Smythe,Romance,Ongoing,Sunday,1200000000,6200000,9.67,21,1,,,19,62979,4414,1491153,741,405680,253799,59991425,2018-07-01,,,,,,,,,,,2023-02-03 02:36:35.641707600 UTC
Lore Olympus,Rachel Smythe,Romance,Ongoing,Sunday,1200000000,6200000,9.67,22,1,,,20,62076,4797,1491153,803,405680,249513,59991425,2018-07-08,,,,,,,,,,,2023-02-03 02:36:39.904119800 UTC
Lore Olympus,Rachel Smythe,Romance,Ongoing,Sunday,1200000000,6200000,9.67,23,1,,,21,55112,5151,1491153,1077,405680,240917,59991425,2018-07-15,,,,,,,,,,,2023-02-03 02:36:43.697730200 UTC
Lore Olympus,Rachel Smythe,Romance,Ongoing,Sunday,1200000000,6200000,9.67,24,1,,,22,62296,3505,1491153,1045,405680,238541,59991425,2018-07-22,,,,,,,,,,,2023-02-03 02:36:47.464898900 UTC
Lore Olympus,Rachel Smythe,Romance,Ongoing,Sunday,1200000000,6200000,9.67,25,1,,,23,66958,8213,1491153,1313,405680,234006,59991425,2018-07-29,,,,,,,,,,,2023-02-03 02:36:52.246569800 UTC
Lore Olympus,Rachel Smythe,Romance,Ongoing,Sunday,1200000000,6200000,9.67,26,1,,,24,106822,20712,1491153,7752,405680,237775,59991425,2018-08-05,,,,,,,,,,,2023-02-03 02:36:56.908473900 UTC
Lore Olympus,Rachel Smythe,Romance,Ongoing,Sunday,1200000000,6200000,9.67,27,1,,,25,87075,4204,1491153,2021,405680,244378,59991425,2018-08-12,,,,,,,,,,,2023-02-03 02:37:00.551209700 UTC
Lore Olympus,Rachel Smythe,Romance,Ongoing,Sunday,1200000000,6200000,9.67,28,1,,,26,77603,6132,1491153,1355,405680,252723,59991425,2018-08-19,,,,,,,,,,,2023-02-03 02:37:04.838535200 UTC
