title,author,genre,status,release_day,views,subscribers,rating,chapter,comments,total_comments,likes,total_likes,date,user,comment_body,post_date,upvotes,downvotes,reply_count,scrape_date
The God of High School,Yongje Park,action,completed,completed,770700000,2800000,9.7,1,5733,594306,144798,30376719,2014-06-30,-🆀ⓦ🅔℟✟🅨-,Another LUFFY (one piece) has been created! :),"Jan 01, 2016",48410,1663,137,2022-12-29
The God of High School,Yongje Park,action,completed,completed,770700000,2800000,9.7,1,5733,594306,144798,30376719,2014-06-30,Catherine Chong,Enjoy 👍,"Jul 17, 2014",22980,261,17,2022-12-29
The God of High School,Yongje Park,action,completed,completed,770700000,2800000,9.7,1,5733,594306,144798,30376719,2014-06-30,Andy Adelangga,There is ni invitation to fighter's in Indonesia,"Jun 03, 2015",6831,178,46,2022-12-29
The God of High School,Yongje Park,action,completed,completed,770700000,2800000,9.7,1,5733,594306,144798,30376719,2014-06-30,This user has been deleted.,This comment has been deleted.,,0,0,24,2022-12-29
The God of High School,Yongje Park,action,completed,completed,770700000,2800000,9.7,1,5733,594306,144798,30376719,2014-06-30,Lauren Meadows,"ALL PEOPLE WHO ARE READING THIS LATE OR RE-READING THIS, YOU HAVE BEEN WARNED.This Webtoon is going to blow your mind. literally. I don't have a brain anymore. OK JK JK BUT SERIOUSLY Keep on reading. If you don't like action and awesomeness, you suck and stop reading, you wont like it. EVERYONE ELSE, CONTINUE READING THE COMIC OF AWESOMENESS. Thank you and goodbye. *Drops Mic, does a backflip off the stage.*","Oct 10, 2016",1626,69,29,2022-12-29
The God of High School,Yongje Park,action,completed,completed,770700000,2800000,9.7,1,5733,594306,144798,30376719,2014-06-30,Fiery Dreamer,"Ah, the good old days when this was just a fighting tournament.","Aug 26, 2016",822,6,11,2022-12-29
The God of High School,Yongje Park,action,completed,completed,770700000,2800000,9.7,1,5733,594306,144798,30376719,2014-06-30,{}𝚖𝚊𝚌𝚊𝚛𝚘𝚘𝚗{},"""No matter how big they are, I can knock them down with one punch!"" The frick are you, Saitama?","Sep 07, 2017",727,1,8,2022-12-29
The God of High School,Yongje Park,action,completed,completed,770700000,2800000,9.7,1,5733,594306,144798,30376719,2014-06-30,BGSans,I can't be the only one smiling like an idiot while reading this,"Jul 28, 2016",436,1,3,2022-12-29
The God of High School,Yongje Park,action,completed,completed,770700000,2800000,9.7,1,5733,594306,144798,30376719,2014-06-30,Jay Jones,The voice I gave the MC in my head is cancer I blame the dialogue,"Mar 07, 2016",300,5,8,2022-12-29
The God of High School,Yongje Park,action,completed,completed,770700000,2800000,9.7,1,5733,594306,144798,30376719,2014-06-30,snowgiz,if Luffy and Natsu combined...,"Mar 26, 2017",258,2,5,2022-12-29
