title,author,genre,status,release_day,views,subscribers,rating,chapter,chapter_length,comments,total_comments,likes,total_likes,date,user,comment_body,post_date,upvotes,downvotes,reply_count,scrape_date
True Beauty,Yaongyi,romance,ongoing,wednesday,959300000,7300000,9.49,1,57972,15393,2211694,479751,51786488,2018-08-15,Bubu41,After she wiped of her make up.... I said “oh that’s how I look every day” and now I love this comic😂,2018-08-14,231586,727,83,2023-01-06
True Beauty,Yaongyi,romance,ongoing,wednesday,959300000,7300000,9.49,1,57972,15393,2211694,479751,51786488,2018-08-15,TheOnlyNguyen,Oml I can already tell that this is gonna be one of the top webtoons. THE ART IS SO GOOD,2018-08-14,115923,852,137,2023-01-06
True Beauty,Yaongyi,romance,ongoing,wednesday,959300000,7300000,9.49,1,57972,15393,2211694,479751,51786488,2018-08-15,amieethelamie,When the Snapchat filter goes off edit-oof I never got this many likes 😂,2018-08-14,19983,78,14,2023-01-06
True Beauty,Yaongyi,romance,ongoing,wednesday,959300000,7300000,9.49,1,57972,15393,2211694,479751,51786488,2018-08-15,This user has been deleted.,This comment has been deleted.,,0,0,49,2023-01-06
True Beauty,Yaongyi,romance,ongoing,wednesday,959300000,7300000,9.49,1,57972,15393,2211694,479751,51786488,2018-08-15,V Nessa,what if mr. Q-tip spray make up removal on her face😂 omg! ,2018-08-14,2178,13,23,2023-01-06
True Beauty,Yaongyi,romance,ongoing,wednesday,959300000,7300000,9.49,1,57972,15393,2211694,479751,51786488,2018-08-15,Mary-Cha,my boyfriend broke up with me after he saw me without makeup😒😷 It did hurt but I was like okay u lose it u sucker I later  on started dating someone n he keeps on texting me whenever I post a pic🤔🤔,2018-08-14,1677,25,60,2023-01-06
True Beauty,Yaongyi,romance,ongoing,wednesday,959300000,7300000,9.49,1,57972,15393,2211694,479751,51786488,2018-08-15,penguinnsoo,"And as the saying goes ""You ain't ugly, you just don't have the make-up skills"" 😂",2018-08-14,1456,8,4,2023-01-06
True Beauty,Yaongyi,romance,ongoing,wednesday,959300000,7300000,9.49,1,57972,15393,2211694,479751,51786488,2018-08-15,hey its just me!,for some reason this reminds me of Lookism,2018-08-14,740,7,8,2023-01-06
True Beauty,Yaongyi,romance,ongoing,wednesday,959300000,7300000,9.49,1,57972,15393,2211694,479751,51786488,2018-08-15,marmalade_🍑,Me vs the girl he tells me not to worry about 😂,2018-08-14,721,4,3,2023-01-06
True Beauty,Yaongyi,romance,ongoing,wednesday,959300000,7300000,9.49,1,57972,15393,2211694,479751,51786488,2018-08-15,ratboystudio,she looks pretty wothout makeup too lol,2018-08-14,613,19,11,2023-01-06
True Beauty,Yaongyi,romance,ongoing,wednesday,959300000,7300000,9.49,1,57972,15393,2211694,479751,51786488,2018-08-15,whatever flows,Omg I’ve been waiting for this to be translated ,2018-08-14,482,4,12,2023-01-06
True Beauty,Yaongyi,romance,ongoing,wednesday,959300000,7300000,9.49,1,57972,15393,2211694,479751,51786488,2018-08-15,gimme_cookies 🍪,OMG did I just see her getting asked by a KPOP BAND MEMBER?!😲😍 I wish it was like that for me....,2018-08-14,480,14,21,2023-01-06
True Beauty,Yaongyi,romance,ongoing,wednesday,959300000,7300000,9.49,1,57972,15393,2211694,479751,51786488,2018-08-15,eunice!,oof she has that popular girl vibe but at the same time i don’t think she’s a bad person ,2018-08-14,387,2,2,2023-01-06
True Beauty,Yaongyi,romance,ongoing,wednesday,959300000,7300000,9.49,1,57972,15393,2211694,479751,51786488,2018-08-15,Blue 1235,I don't get why us girls have to be so addicted to makeup just to get people to like us,2018-08-14,331,24,15,2023-01-06
True Beauty,Yaongyi,romance,ongoing,wednesday,959300000,7300000,9.49,1,57972,15393,2211694,479751,51786488,2018-08-15,헐✨🌻,When she wiped off her makeup... relatable 😂😭,2018-08-14,248,2,1,2023-01-06
True Beauty,Yaongyi,romance,ongoing,wednesday,959300000,7300000,9.49,2,70440,7678,2211694,356246,51786488,2018-08-15,Neang_Mingna,Her eyebrows in the beginning are my eyebrows right now. 😂,2018-08-14,117205,521,130,2023-01-06
True Beauty,Yaongyi,romance,ongoing,wednesday,959300000,7300000,9.49,2,70440,7678,2211694,356246,51786488,2018-08-15,Ginarely,"And that people is the wrong form of getting “friends”makeup is like clothes, you should use them for feeling comfortable with yourself but if you want to find true friends you should find someone who judges you by your true self and not by your makeup brand",2018-08-14,80420,682,67,2023-01-06
