site,season,season_chapter,overall_chapter,engagement_count,date
naver,3,133,550,26544,"Aug 14, 2022"
naver,3,132,549,21175,"Aug 07, 2022"
naver,3,131,548,23683,"Jul 31, 2022"
naver,3,130,547,19507,"Jul 24, 2022"
naver,3,129,546,18958,"Jul 17, 2022"
naver,3,128,545,19461,"Jul 10, 2022"
naver,3,127,544,23572,"Jul 03, 2022"
naver,3,126,543,19153,"Jun 26, 2022"
naver,3,125,542,18789,"Jun 19, 2022"
naver,3,124,541,18239,"Jun 12, 2022"
naver,3,123,540,19207,"Jun 05, 2022"
naver,3,122,539,18923,"May 29, 2022"
naver,3,121,538,19465,"May 22, 2022"
naver,3,120,537,17250,"May 08, 2022"
naver,3,119,536,20810,"May 01, 2022"
naver,3,118,535,22771,"Apr 24, 2022"
naver,3,117,534,18864,"Apr 17, 2022"
naver,3,116,533,17173,"Apr 10, 2022"
naver,3,115,532,20808,"Apr 03, 2022"
naver,3,114,531,21052,"Mar 27, 2022"
naver,3,113,530,19086,"Mar 20, 2022"
naver,3,112,529,19036,"Mar 13, 2022"
naver,3,111,528,17519,"Mar 06, 2022"
naver,3,110,527,18455,"Feb 27, 2022"
naver,3,109,526,23374,"Feb 20, 2022"
naver,3,108,525,20470,"Feb 13, 2022"
naver,3,107,524,20849,"Feb 06, 2022"
naver,3,106,523,21027,"Jan 30, 2022"
naver,3,105,522,23136,"Jan 23, 2022"
naver,3,104,521,19763,"Jan 16, 2022"
naver,3,103,520,27396,"Jan 09, 2022"
naver,3,102,519,24647,"Jan 02, 2022"
naver,3,101,518,23159,"Dec 26, 2021"
naver,3,100,517,22064,"Dec 19, 2021"
naver,3,99,516,21171,"Dec 12, 2021"
naver,3,98,515,22927,"Dec 05, 2021"
naver,3,97,514,21456,"Nov 28, 2021"
naver,3,96,513,24490,"Nov 21, 2021"
naver,3,95,512,32673,"Nov 14, 2021"
naver,3,94,511,25522,"Nov 07, 2021"
naver,3,93,510,25247,"Oct 31, 2021"
naver,3,92,509,25983,"Oct 24, 2021"
naver,3,91,508,27753,"Oct 17, 2021"
naver,3,90,507,31374,"Oct 10, 2021"
naver,3,89,506,29503,"Oct 03, 2021"
naver,3,88,505,28711,"Sep 26, 2021"
naver,3,87,504,30043,"Sep 19, 2021"
naver,3,86,503,30552,"Sep 12, 2021"
naver,3,85,502,30746,"Sep 05, 2021"
naver,3,84,501,26803,"Aug 29, 2021"
naver,3,83,500,28250,"Aug 22, 2021"
naver,3,82,499,22955,"Aug 15, 2021"
naver,3,81,498,24741,"Aug 08, 2021"
naver,3,80,497,32319,"Aug 01, 2021"
naver,3,79,496,23957,"Jul 25, 2021"
naver,3,78,495,24484,"Jul 18, 2021"
naver,3,77,494,22927,"Jul 11, 2021"
naver,3,76,493,22731,"Jul 04, 2021"
naver,3,75,492,25452,"Jun 27, 2021"
naver,3,74,491,23325,"Jun 20, 2021"
naver,3,73,490,26953,"Jun 13, 2021"
naver,3,72,489,30332,"Jun 06, 2021"
naver,3,71,488,27674,"May 30, 2021"
naver,3,70,487,29940,"May 23, 2021"
naver,3,69,486,60748,"May 16, 2021"
naver,3,68,485,55238,"Jun 21, 2020"
