chapter,comments,likes,date,user,comment_body,post_date,upvotes,downvotes,reply_count,scrape_date
1,15381,479105,2018-08-15,Bubu41,After she wiped of her make up.... I said “oh that’s how I look every day” and now I love this comic😂,"Aug 14, 2018",231141,726,2022-12-28,83
1,15381,479105,2018-08-15,TheOnlyNguyen,Oml I can already tell that this is gonna be one of the top webtoons. THE ART IS SO GOOD,"Aug 14, 2018",115701,852,2022-12-28,137
1,15381,479105,2018-08-15,amieethelamie,When the Snapchat filter goes off edit-oof I never got this many likes 😂,"Aug 14, 2018",19741,77,2022-12-28,14
1,15381,479105,2018-08-15,This user has been deleted.,This comment has been deleted.,,0,0,2022-12-28,49
1,15381,479105,2018-08-15,V Nessa,what if mr. Q-tip spray make up removal on her face😂 omg! ,"Aug 14, 2018",2173,13,2022-12-28,23
1,15381,479105,2018-08-15,Mary-Cha,my boyfriend broke up with me after he saw me without makeup😒😷 It did hurt but I was like okay u lose it u sucker I later  on started dating someone n he keeps on texting me whenever I post a pic🤔🤔,"Aug 14, 2018",1671,25,2022-12-28,60
1,15381,479105,2018-08-15,penguinnsoo,"And as the saying goes ""You ain't ugly, you just don't have the make-up skills"" 😂","Aug 14, 2018",1451,8,2022-12-28,4
1,15381,479105,2018-08-15,hey its just me!,for some reason this reminds me of Lookism,"Aug 14, 2018",735,7,2022-12-28,8
1,15381,479105,2018-08-15,marmalade_🍑,Me vs the girl he tells me not to worry about 😂,"Aug 14, 2018",716,4,2022-12-28,3
1,15381,479105,2018-08-15,ratboystudio,she looks pretty wothout makeup too lol,"Aug 14, 2018",612,19,2022-12-28,11
1,15381,479105,2018-08-15,whatever flows,Omg I’ve been waiting for this to be translated ,"Aug 14, 2018",482,4,2022-12-28,12
1,15381,479105,2018-08-15,gimme_cookies 🍪,OMG did I just see her getting asked by a KPOP BAND MEMBER?!😲😍 I wish it was like that for me....,"Aug 14, 2018",479,14,2022-12-28,21
1,15381,479105,2018-08-15,eunice!,oof she has that popular girl vibe but at the same time i don’t think she’s a bad person ,"Aug 14, 2018",384,2,2022-12-28,2
1,15381,479105,2018-08-15,Blue 1235,I don't get why us girls have to be so addicted to makeup just to get people to like us,"Aug 14, 2018",330,24,2022-12-28,15
1,15381,479105,2018-08-15,헐✨🌻,When she wiped off her makeup... relatable 😂😭,"Aug 14, 2018",247,2,2022-12-28,1
2,7674,355726,2018-08-15,Neang_Mingna,Her eyebrows in the beginning are my eyebrows right now. 😂,"Aug 14, 2018",116954,520,2022-12-28,130
2,7674,355726,2018-08-15,Ginarely,"And that people is the wrong form of getting “friends”makeup is like clothes, you should use them for feeling comfortable with yourself but if you want to find true friends you should find someone who judges you by your true self and not by your makeup brand","Aug 14, 2018",80275,680,2022-12-28,67
2,7674,355726,2018-08-15,babbit☆,And that's how it all started,"Aug 14, 2018",68685,545,2022-12-28,18
2,7674,355726,2018-08-15,francesmei1,"Just be yourself, girl","Aug 14, 2018",1242,20,2022-12-28,6
2,7674,355726,2018-08-15,Michelle Lim,"Her: I, a middle schooler, am going to become a total pro so boys will love me! I mean, what could go wrong??? Me: oh dear.","Aug 14, 2018",945,5,2022-12-28,1
2,7674,355726,2018-08-15,Taygan,"Omg fall out boy, linkin park, Marilyn Manson, Green day😂😂 im dead","Aug 14, 2018",820,2,2022-12-28,17
2,7674,355726,2018-08-15,milkytooth,Honestly all she needed was to thread her eyebrows ,"Aug 14, 2018",730,7,2022-12-28,8
2,7674,355726,2018-08-15,IM PEPPA PIG🐖🐖🐖,lookism girl version. edit: good thing I didnt get the top comment coz if the author see my comment he/she will sue me,"Aug 14, 2018",518,16,2022-12-28,8
2,7674,355726,2018-08-15,TheBeginnings,I still look like a rat when I put on makeup. The struggles are real.,"Aug 14, 2018",325,1,2022-12-28,6
2,7674,355726,2018-08-15,pri11,RIP Chester,"Aug 14, 2018",298,2,2022-12-28,10
2,7674,355726,2018-08-15,♏️agi ,The next time I accidentally trip someone I’ll remember to say “oops you seemed to have tripped on my long beautiful legs” ,"Aug 15, 2018",283,1,2022-12-28,2
2,7674,355726,2018-08-15,marmalade_🍑,I bet she'd look cute if she trimmed her eyebrows ,"Aug 14, 2018",297,7,2022-12-28,5
2,7674,355726,2018-08-15,Alessandra M.,"Senior in middle school? The comic before said she was 21. Also, how has no one mentioned her awesome music taste?!","Aug 14, 2018",244,8,2022-12-28,5
